NRH,mitigation,Geomean Normalized Energy
128.0,ABO_Only,1.0032368057804637
128.0,ABO_RFM,1.10794725979891
128.0,TPRAC,1.4529737471589588
128.0,TPRAC-TREFper2tREFI,1.4433058612650813
128.0,TPRAC-TREFper3tREFI,1.45335748378606
128.0,TPRAC-TREFper4tREFI,1.4573603951006207
128.0,TPRAC-TREFpertREFI,1.416311646916939
256.0,ABO_Only,0.9992829475035131
256.0,ABO_RFM,1.0359307474141697
256.0,TPRAC,1.2614724321217727
256.0,TPRAC-TREFper2tREFI,1.2629811202315633
256.0,TPRAC-TREFper3tREFI,1.2680646361896577
256.0,TPRAC-TREFper4tREFI,1.2670924089406825
256.0,TPRAC-TREFpertREFI,1.25204396235876
512.0,ABO_Only,0.9997795473011521
512.0,ABO_RFM,1.0166814493372827
512.0,TPRAC,1.1060661756922383
512.0,TPRAC-TREFper2tREFI,1.1182417188079334
512.0,TPRAC-TREFper3tREFI,1.1188999704840925
512.0,TPRAC-TREFper4tREFI,1.123085163897147
512.0,TPRAC-TREFpertREFI,1.1100300339458795
1024.0,ABO_Only,0.9994208830250638
1024.0,ABO_RFM,1.0054388643708945
1024.0,TPRAC,
1024.0,TPRAC-TREFper2tREFI,1.049109895063248
1024.0,TPRAC-TREFper3tREFI,1.049323731441138
1024.0,TPRAC-TREFper4tREFI,
1024.0,TPRAC-TREFpertREFI,
2048.0,ABO_Only,0.9996691006463592
2048.0,ABO_RFM,1.0027763564264986
2048.0,TPRAC,1.0265707796782881
2048.0,TPRAC-TREFper2tREFI,1.037597288835329
2048.0,TPRAC-TREFper3tREFI,1.015437806022285
2048.0,TPRAC-TREFper4tREFI,1.026139133256099
2048.0,TPRAC-TREFpertREFI,1.0462879949771358
4096.0,ABO_Only,0.999872517774537
4096.0,ABO_RFM,0.9996392400880789
4096.0,TPRAC,1.0110015847280225
4096.0,TPRAC-TREFper2tREFI,1.037597288835329
4096.0,TPRAC-TREFper3tREFI,1.0298257900020722
4096.0,TPRAC-TREFper4tREFI,1.0115790033497736
4096.0,TPRAC-TREFpertREFI,1.0462879949771358
