NRH,mitigation,Geomean Normalized Mitigation Energy
128.0,ABO_Only,
128.0,ABO_RFM,inf
128.0,TPRAC,inf
128.0,TPRAC-TREFper2tREFI,inf
128.0,TPRAC-TREFper3tREFI,inf
128.0,TPRAC-TREFper4tREFI,inf
128.0,TPRAC-TREFpertREFI,inf
256.0,ABO_Only,
256.0,ABO_RFM,inf
256.0,TPRAC,inf
256.0,TPRAC-TREFper2tREFI,inf
256.0,TPRAC-TREFper3tREFI,inf
256.0,TPRAC-TREFper4tREFI,inf
256.0,TPRAC-TREFpertREFI,inf
512.0,ABO_Only,
512.0,ABO_RFM,inf
512.0,TPRAC,inf
512.0,TPRAC-TREFper2tREFI,inf
512.0,TPRAC-TREFper3tREFI,inf
512.0,TPRAC-TREFper4tREFI,inf
512.0,TPRAC-TREFpertREFI,inf
1024.0,ABO_Only,
1024.0,ABO_RFM,
1024.0,TPRAC,
1024.0,TPRAC-TREFper2tREFI,inf
1024.0,TPRAC-TREFper3tREFI,inf
1024.0,TPRAC-TREFper4tREFI,
1024.0,TPRAC-TREFpertREFI,
2048.0,ABO_Only,
2048.0,ABO_RFM,
2048.0,TPRAC,inf
2048.0,TPRAC-TREFper2tREFI,inf
2048.0,TPRAC-TREFper3tREFI,inf
2048.0,TPRAC-TREFper4tREFI,inf
2048.0,TPRAC-TREFpertREFI,inf
4096.0,ABO_Only,
4096.0,ABO_RFM,
4096.0,TPRAC,inf
4096.0,TPRAC-TREFper2tREFI,inf
4096.0,TPRAC-TREFper3tREFI,inf
4096.0,TPRAC-TREFper4tREFI,inf
4096.0,TPRAC-TREFpertREFI,inf
