branch_predictor,prefetcher,workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC,TPRAC-TREFper2tREFI,TPRAC-TREFper3tREFI,TPRAC-TREFper4tREFI,TPRAC-TREFpertREFI
bimodal,spp_dev,401.bzip2,1024.0,1.0,,,1.0511916631210596,,,1.0554205047327851,1.049187420809749
bimodal,spp_dev,403.gcc,1024.0,1.0,,,1.0504539112186095,,,1.0442716635026439,1.0562503992482546
bimodal,spp_dev,410.bwaves,1024.0,1.0,,,1.0486754728139747,,,1.0461328150348803,1.0357418840258557
bimodal,spp_dev,416.gamess,1024.0,1.0,,,1.038320107155243,,,1.0431395870149498,1.0563885884721498
bimodal,spp_dev,429.mcf,1024.0,1.0,,,1.0658297710107645,,,1.0518120273936822,1.0341526720950351
bimodal,spp_dev,433.milc,1024.0,1.0,,,1.059243834844386,,,1.059316481553377,1.0355567332903841
bimodal,spp_dev,435.gromacs,1024.0,1.0,,,1.0476355970249507,,,1.048178471930629,1.0576816789438865
bimodal,spp_dev,436.cactusADM,1024.0,1.0,,,1.0604847532797508,,,1.0549868891384175,1.0351194307190925
bimodal,spp_dev,437.leslie3d,1024.0,1.0,,,1.0586888063803717,,,1.0344156671745062,1.037557759680826
bimodal,spp_dev,444.namd,1024.0,1.0,,,1.04562780760778,,,1.0485421866692874,1.0554597560860195
bimodal,spp_dev,445.gobmk,1024.0,1.0,,,1.0382520890226374,,,1.0447133697890134,1.0563482410349265
bimodal,spp_dev,447.dealII,1024.0,1.0,,,1.0393927562175762,,,1.0446125021964674,1.055664205462551
bimodal,spp_dev,450.soplex,1024.0,1.0,,,1.0179974031328656,,,1.0367188439059545,1.03799796931775
bimodal,spp_dev,453.povray,1024.0,1.0,,,1.0375782916389893,,,1.0426173823176874,1.0563245555566632
bimodal,spp_dev,454.calculix,1024.0,1.0,,,1.0369651996078115,,,1.0415980770011413,1.0561476297598775
bimodal,spp_dev,456.hmmer,1024.0,1.0,,,1.0447578635377133,,,1.0464094430979587,1.0543415213187368
bimodal,spp_dev,458.sjeng,1024.0,1.0,,,1.0597267013668485,,,1.0597678670786448,1.057311259076839
bimodal,spp_dev,459.GemsFDTD,1024.0,1.0,,,1.063512380932103,,,1.0656403476610872,1.0458476297487784
bimodal,spp_dev,464.h264ref,1024.0,1.0,,,1.0787475831487583,,,1.0743688529497595,1.0531301838610918
bimodal,spp_dev,465.tonto,1024.0,1.0,,,1.0454546040963768,,,1.0489527346956764,1.0571401947412997
bimodal,spp_dev,470.lbm,1024.0,1.0,,,1.0620562317415123,,,1.0533152833939452,1.0304186264375819
bimodal,spp_dev,471.omnetpp,1024.0,1.0,,,1.074461168962557,,,1.0695088507374986,1.041292948155837
bimodal,spp_dev,473.astar,1024.0,1.0,,,1.0500396052149858,,,1.0422543638756923,1.0526957610456498
bimodal,spp_dev,481.wrf,1024.0,1.0,,,1.053640870538524,,,1.0628504127272191,1.0523809272519231
bimodal,spp_dev,482.sphinx3,1024.0,1.0,,,1.060182213863046,,,1.0670033324337593,1.0369347354841538
bimodal,spp_dev,483.xalancbmk,1024.0,1.0,,,1.0761646726359448,,,1.0678768019617424,1.0440968206082037
bimodal,spp_dev,600.perlbench,1024.0,1.0,,,1.0383176509931038,,,1.043020196353607,1.0561479404189813
bimodal,spp_dev,602.gcc,1024.0,1.0,,,1.0570819366043598,,,1.0547837110612146,1.0544951328597878
bimodal,spp_dev,603.bwaves,1024.0,1.0,,,1.040366330265383,,,1.0427321706813122,1.054456352595677
bimodal,spp_dev,605.mcf,1024.0,1.0,,,1.087424581080635,,,1.0799768910001573,1.044857720794866
bimodal,spp_dev,607.cactuBSSN,1024.0,1.0,,,1.0565665312655015,,,1.0149245258220734,1.03601692920673
bimodal,spp_dev,619.lbm,1024.0,1.0,,,1.0586233032428485,,,1.0491247823253693,1.0305586209331852
bimodal,spp_dev,620.omnetpp,1024.0,1.0,,,1.065398089910804,,,1.0594728786225678,1.0437506194684032
bimodal,spp_dev,621.wrf,1024.0,1.0,,,1.0378131723169848,,,1.0421526643544392,1.0561440374456705
bimodal,spp_dev,623.xalancbmk,1024.0,1.0,,,1.0510048767200968,,,1.0508839989528787,1.0534748132714675
bimodal,spp_dev,625.x264,1024.0,1.0,,,1.0511134870908465,,,1.0520009116165046,1.054968690111951
bimodal,spp_dev,627.cam4,1024.0,1.0,,,1.0960319231238576,,,1.0747169848262677,1.0399363495522378
bimodal,spp_dev,628.pop2,1024.0,1.0,,,1.0667219309192941,,,1.0475089564053741,1.0383957836215727
bimodal,spp_dev,631.deepsjeng,1024.0,1.0,,,1.0670408377457974,,,1.0569300691789467,1.05665174630408
bimodal,spp_dev,638.imagick,1024.0,1.0,,,1.0427501371547188,,,1.0453779577379396,1.0531687520097313
bimodal,spp_dev,641.leela,1024.0,1.0,,,1.0389141685815406,,,1.0435974340674055,1.0564139256877485
bimodal,spp_dev,644.nab,1024.0,1.0,,,1.051385271587173,,,1.0519048948395173,1.0567015002696087
bimodal,spp_dev,648.exchange2,1024.0,1.0,,,1.0362405224536329,,,1.0408753408215452,1.0561362687456572
bimodal,spp_dev,649.fotonik3d,1024.0,1.0,,,1.0692005203067054,,,1.0663529438069916,1.0315418864374182
bimodal,spp_dev,654.roms,1024.0,1.0,,,1.0639025002696714,,,1.0577361218939996,1.0369785850587638
bimodal,spp_dev,657.xz,1024.0,1.0,,,1.0728635105667181,,,1.0784527603383371,1.0507065254487216
bimodal,spp_dev,cassandra,1024.0,1.0,,,1.0551827191278818,,,1.0340404348444605,1.031520751363113
bimodal,spp_dev,classification,1024.0,1.0,,,1.106977645644356,,,1.0308025097304685,1.0319128770161696
bimodal,spp_dev,cloud9,1024.0,1.0,,,1.0663763699614555,,,1.09942873766211,1.0332271438437042
bimodal,spp_dev,nutch,1024.0,1.0,,,1.058852783861036,,,1.0342828115984375,1.0289267499791264
gshare,spp_dev,401.bzip2,1024.0,1.0,,,1.1228200992629562,,,1.061070490358543,1.0495141885558823
gshare,spp_dev,403.gcc,1024.0,1.0,,,1.042807682997962,,,1.039408625953781,1.056027461090768
gshare,spp_dev,410.bwaves,1024.0,1.0,,,1.071866828671168,,,1.0637446110379831,1.0359176729330806
gshare,spp_dev,416.gamess,1024.0,1.0,,,1.0379711343654265,,,1.0422637934291388,1.0563776795796374
gshare,spp_dev,429.mcf,1024.0,1.0,,,1.0592975661636208,,,1.0441824321966482,1.0341721421758967
gshare,spp_dev,433.milc,1024.0,1.0,,,1.076468903838077,,,1.0758484125343235,1.0352709045588246
gshare,spp_dev,435.gromacs,1024.0,1.0,,,1.0471658252276603,,,1.0489537814141496,1.0577203963139894
gshare,spp_dev,436.cactusADM,1024.0,1.0,,,1.073167935563249,,,1.0649276017761073,1.0350454806257725
gshare,spp_dev,437.leslie3d,1024.0,1.0,,,1.0586888063803717,,,1.0344156671745062,1.037557759680826
gshare,spp_dev,444.namd,1024.0,1.0,,,1.0530150948758303,,,1.0474602247569067,1.0557157189812392
gshare,spp_dev,445.gobmk,1024.0,1.0,,,1.0381732745385759,,,1.0430650323302477,1.0563500341616316
gshare,spp_dev,447.dealII,1024.0,1.0,,,1.040102814899409,,,1.0433870639419538,1.0556201863013794
gshare,spp_dev,450.soplex,1024.0,1.0,,,1.052808195117323,,,1.0543086767016019,1.0378312693001366
gshare,spp_dev,453.povray,1024.0,1.0,,,1.0378980599009155,,,1.0419922967424098,1.0563371711159038
gshare,spp_dev,454.calculix,1024.0,1.0,,,1.036956172241401,,,1.0414205117680138,1.0561284105642503
gshare,spp_dev,456.hmmer,1024.0,1.0,,,1.0450044013482485,,,1.0460740396339743,1.0543607093447322
gshare,spp_dev,458.sjeng,1024.0,1.0,,,1.0607720161733174,,,1.0588225678813261,1.0571077501087867
gshare,spp_dev,459.GemsFDTD,1024.0,1.0,,,1.0548321472402913,,,1.0673667673444904,1.045619096107384
gshare,spp_dev,464.h264ref,1024.0,1.0,,,1.0647282819885837,,,1.0503232281227737,1.0525563004686402
gshare,spp_dev,465.tonto,1024.0,1.0,,,1.0463625519882458,,,1.047450862631719,1.0570715500967982
gshare,spp_dev,470.lbm,1024.0,1.0,,,1.0599960183315127,,,1.0528183536130173,1.030401701572357
gshare,spp_dev,471.omnetpp,1024.0,1.0,,,1.0624211202387448,,,1.0574677589156811,1.0409179692206216
gshare,spp_dev,473.astar,1024.0,1.0,,,1.0541300060104652,,,1.0505802473439192,1.0500861693047314
gshare,spp_dev,481.wrf,1024.0,1.0,,,1.0460141844078334,,,1.0463449433174203,1.0518683570749432
gshare,spp_dev,482.sphinx3,1024.0,1.0,,,1.069009528330548,,,1.0565583383596686,1.0368907164373786
gshare,spp_dev,483.xalancbmk,1024.0,1.0,,,1.0737837932360077,,,1.065271151919616,1.0439245344702888
gshare,spp_dev,600.perlbench,1024.0,1.0,,,1.0396694924662402,,,1.0431388961203822,1.05618707279347
gshare,spp_dev,602.gcc,1024.0,1.0,,,1.0610029723012697,,,1.0633536247721413,1.054403492350581
gshare,spp_dev,603.bwaves,1024.0,1.0,,,1.0390293645113993,,,1.0429579325183738,1.054239898992981
gshare,spp_dev,605.mcf,1024.0,1.0,,,1.0698694893411849,,,1.0642247782476555,1.044553678241566
gshare,spp_dev,607.cactuBSSN,1024.0,1.0,,,1.0235126105501404,,,1.0495728709298169,1.0359514613358534
gshare,spp_dev,619.lbm,1024.0,1.0,,,,,,,
gshare,spp_dev,620.omnetpp,1024.0,1.0,,,1.0574786759856678,,,1.0580307156012367,1.0438194247886206
gshare,spp_dev,621.wrf,1024.0,1.0,,,1.0373892819464774,,,1.040965325057121,1.0561273730818728
gshare,spp_dev,623.xalancbmk,1024.0,1.0,,,1.054680916344567,,,1.0553897775267056,1.053373660134341
gshare,spp_dev,625.x264,1024.0,1.0,,,1.0492067818794704,,,1.0495336359955745,1.0545174223001057
gshare,spp_dev,627.cam4,1024.0,1.0,,,1.092801119189172,,,1.0579229461844073,1.0398446746682661
gshare,spp_dev,628.pop2,1024.0,1.0,,,1.0823273988559854,,,1.0723962185679836,1.0384024929296016
gshare,spp_dev,631.deepsjeng,1024.0,1.0,,,1.0687477416198656,,,1.0646764075399227,1.056472098409328
gshare,spp_dev,638.imagick,1024.0,1.0,,,1.0414098391030406,,,1.0444210273497068,1.0531265832986159
gshare,spp_dev,641.leela,1024.0,1.0,,,1.0397072981349338,,,1.0443343667137341,1.0565167395712667
gshare,spp_dev,644.nab,1024.0,1.0,,,1.0390829767693786,,,1.0441657069242753,1.0566560382170764
gshare,spp_dev,648.exchange2,1024.0,1.0,,,1.0365088692413835,,,1.0414185171667905,1.0561199047166707
gshare,spp_dev,649.fotonik3d,1024.0,1.0,,,1.0718412341670824,,,1.0434088671744248,1.0315390614907023
gshare,spp_dev,654.roms,1024.0,1.0,,,1.0612409745983478,,,1.0203980667334043,1.036992679118157
gshare,spp_dev,657.xz,1024.0,1.0,,,1.070278294639789,,,1.0518889727603558,1.0499948226527267
gshare,spp_dev,cassandra,1024.0,1.0,,,,,,,
gshare,spp_dev,classification,1024.0,1.0,,,1.059291400340843,,,1.0235815218945201,1.0316899666605992
gshare,spp_dev,cloud9,1024.0,1.0,,,1.0643483896762203,,,1.072374346344449,1.0333414931732527
gshare,spp_dev,nutch,1024.0,1.0,,,1.068760395644122,,,1.0496816067178152,1.0290297727201196
hashed_perceptron,next_line,401.bzip2,1024.0,1.0,,,1.0587920689415529,,,1.0542162810027313,1.0519340330832707
hashed_perceptron,next_line,403.gcc,1024.0,1.0,,,1.058082893149877,,,1.0464228125935726,1.0565334430967375
hashed_perceptron,next_line,410.bwaves,1024.0,1.0,,,1.0694973390645655,,,1.05953812282923,1.0328920218826978
hashed_perceptron,next_line,416.gamess,1024.0,1.0,,,1.0379105556553012,,,1.042501453902148,1.0563566434298635
hashed_perceptron,next_line,429.mcf,1024.0,1.0,,,1.0630888069281879,,,1.054459511541989,1.0342452859796007
hashed_perceptron,next_line,433.milc,1024.0,1.0,,,1.0675539502786706,,,1.0591118433216122,1.0382862237453807
hashed_perceptron,next_line,435.gromacs,1024.0,1.0,,,1.0430644222148893,,,1.0460475823051958,1.0577355663627324
hashed_perceptron,next_line,436.cactusADM,1024.0,1.0,,,1.0602204767896048,,,1.0513893135700256,1.0398026511174066
hashed_perceptron,next_line,437.leslie3d,1024.0,1.0,,,1.0764115622977526,,,1.06954719896092,1.0469034155491221
hashed_perceptron,next_line,444.namd,1024.0,1.0,,,1.0414875435647883,,,1.0460255318088412,1.0567244630837684
hashed_perceptron,next_line,445.gobmk,1024.0,1.0,,,1.041681015825584,,,1.0451534760028922,1.0564858191995807
hashed_perceptron,next_line,447.dealII,1024.0,1.0,,,1.038319832054301,,,1.0421907226837654,1.0560263452607248
hashed_perceptron,next_line,450.soplex,1024.0,1.0,,,1.0647179822922208,,,1.0590769405187948,1.0367491764128594
hashed_perceptron,next_line,453.povray,1024.0,1.0,,,1.0379103003006438,,,1.0423161501619083,1.0562977033136198
hashed_perceptron,next_line,454.calculix,1024.0,1.0,,,1.0364322369725076,,,1.0413445637196765,1.056153443091798
hashed_perceptron,next_line,456.hmmer,1024.0,1.0,,,1.0446267440956527,,,1.0482781505122323,1.0545600493982796
hashed_perceptron,next_line,458.sjeng,1024.0,1.0,,,1.0641076212680078,,,1.060063655600912,1.0554035491747205
hashed_perceptron,next_line,459.GemsFDTD,1024.0,1.0,,,1.062580564294167,,,1.0565932943983127,1.046617758902492
hashed_perceptron,next_line,462.libquantum,1024.0,1.0,,,,,,1.067788085845464,1.0397447793568997
hashed_perceptron,next_line,464.h264ref,1024.0,1.0,,,1.0534437053857464,,,1.0511796290268012,1.056084259257365
hashed_perceptron,next_line,465.tonto,1024.0,1.0,,,1.040277402835698,,,1.0441762388265459,1.0566370374740641
hashed_perceptron,next_line,470.lbm,1024.0,1.0,,,1.0599827687309613,,,1.0510987931661253,1.0298988230805621
hashed_perceptron,next_line,471.omnetpp,1024.0,1.0,,,1.0632113471459745,,,1.0570963810848153,1.0411960159007503
hashed_perceptron,next_line,473.astar,1024.0,1.0,,,1.0625300908994129,,,1.0607224767201369,1.0522005046584157
hashed_perceptron,next_line,481.wrf,1024.0,1.0,,,1.046992234399919,,,1.0495161270161086,1.0545895946141581
hashed_perceptron,next_line,482.sphinx3,1024.0,1.0,,,1.0690896404099137,,,1.065136318167239,1.0433736869093468
hashed_perceptron,next_line,483.xalancbmk,1024.0,1.0,,,,,,,
hashed_perceptron,next_line,600.perlbench,1024.0,1.0,,,1.038576518740372,,,1.0430174654918645,1.056205382619337
hashed_perceptron,next_line,602.gcc,1024.0,1.0,,,1.058939474930614,,,1.05971733609685,1.0542214741277205
hashed_perceptron,next_line,603.bwaves,1024.0,1.0,,,1.0391247829177666,,,1.0404651402757708,1.0538953300899212
hashed_perceptron,next_line,605.mcf,1024.0,1.0,,,1.0617844720070462,,,1.059138863344254,1.043070617111692
hashed_perceptron,next_line,607.cactuBSSN,1024.0,1.0,,,1.0216026043317639,,,1.0269123809114447,1.0379427560147012
hashed_perceptron,next_line,619.lbm,1024.0,1.0,,,1.059185184948298,,,1.0519358312963687,1.0297255702819088
hashed_perceptron,next_line,620.omnetpp,1024.0,1.0,,,1.062827643408618,,,1.0572655299747604,1.0439710512115683
hashed_perceptron,next_line,621.wrf,1024.0,1.0,,,1.036973040816488,,,1.041629508793712,1.0562578495843589
hashed_perceptron,next_line,623.xalancbmk,1024.0,1.0,,,1.0493682412611356,,,1.050979640543275,1.052818868242619
hashed_perceptron,next_line,625.x264,1024.0,1.0,,,1.0561477637108383,,,1.0552808137230754,1.0571630185980347
hashed_perceptron,next_line,627.cam4,1024.0,1.0,,,1.0588840753559614,,,1.0477589956045668,1.042897652340454
hashed_perceptron,next_line,628.pop2,1024.0,1.0,,,1.0714377933452488,,,1.0657667973634326,1.0437227314147048
hashed_perceptron,next_line,631.deepsjeng,1024.0,1.0,,,1.0706889884545132,,,1.0664780197836834,1.0565977026934923
hashed_perceptron,next_line,638.imagick,1024.0,1.0,,,1.043065191595119,,,1.050480174156681,1.0583907247006148
hashed_perceptron,next_line,641.leela,1024.0,1.0,,,1.0390459947089001,,,1.0438736067878172,1.0564732461082498
hashed_perceptron,next_line,644.nab,1024.0,1.0,,,1.0411865324785397,,,1.0467844792338572,1.0562502524613238
hashed_perceptron,next_line,648.exchange2,1024.0,1.0,,,1.0362230349742274,,,1.0409852024264803,1.0561532088208898
hashed_perceptron,next_line,649.fotonik3d,1024.0,1.0,,,1.0598471175145745,,,1.051774008981542,1.0313695898100668
hashed_perceptron,next_line,654.roms,1024.0,1.0,,,1.066804849979217,,,1.0597071907564357,1.0452191507514963
hashed_perceptron,next_line,657.xz,1024.0,1.0,,,1.0640943421557947,,,1.062608664347169,1.0482155408590168
hashed_perceptron,next_line,cassandra,1024.0,1.0,,,1.0490866191939527,,,,1.0328972893802222
hashed_perceptron,next_line,classification,1024.0,1.0,,,1.048420145972691,,,1.041250689497023,1.0340617320653576
hashed_perceptron,next_line,cloud9,1024.0,1.0,,,1.0337273515883325,,,1.0247260169118673,1.0344446224964385
hashed_perceptron,next_line,nutch,1024.0,1.0,,,1.0604945704967317,,,,1.0302527897022538
hashed_perceptron,no,401.bzip2,1024.0,1.0,,,1.0673189731125974,,,1.0615547537661258,1.0522969209608541
hashed_perceptron,no,403.gcc,1024.0,1.0,,,1.0495551398649903,,,1.04847580418406,1.0569234731522281
hashed_perceptron,no,410.bwaves,1024.0,1.0,,,1.0771065914758946,,,1.0659268030100104,1.0359210773659862
hashed_perceptron,no,416.gamess,1024.0,1.0,,,1.03751783265367,,,1.0429164057059164,1.056408144708035
hashed_perceptron,no,429.mcf,1024.0,1.0,,,1.0627811211313993,,,1.055460812619818,1.0358051770111036
hashed_perceptron,no,433.milc,1024.0,1.0,,,1.0677553812742515,,,1.0606740123593699,1.0430560049467414
