branch_predictor,prefetcher,workload,TPRAC,TPRAC-TREFper4tREFI,TPRAC-TREFpertREFI
hashed_perceptron,next_line,401.bzip2,0.9781033153430994,0.9859676175790285,1.0
hashed_perceptron,next_line,403.gcc,0.9931187569367368,0.9978912319644839,1.0
hashed_perceptron,next_line,410.bwaves,0.9306762772948907,0.9476362094551622,1.0
hashed_perceptron,next_line,416.gamess,1.0,1.0,1.0
hashed_perceptron,next_line,429.mcf,0.9441381600797075,0.9582862836267021,1.0
hashed_perceptron,next_line,433.milc,0.9470232605799773,0.9610103494210473,1.0
hashed_perceptron,next_line,435.gromacs,0.9995535714285713,1.000892857142857,1.0
hashed_perceptron,next_line,436.cactusADM,0.9620751341681575,0.9783542039355994,1.0
hashed_perceptron,next_line,437.leslie3d,0.9514931814258587,0.9632314862765405,1.0
hashed_perceptron,next_line,444.namd,0.9981384328989676,0.998646133017431,1.0
hashed_perceptron,next_line,445.gobmk,0.9993378945045241,0.9996689472522622,1.0
hashed_perceptron,next_line,447.dealII,0.9996885705387731,0.9996885705387729,1.0
hashed_perceptron,next_line,450.soplex,0.9507874015748031,0.9637232845894264,1.0
hashed_perceptron,next_line,453.povray,0.9995027349577323,0.9995027349577323,1.0
hashed_perceptron,next_line,454.calculix,0.9999103621369665,0.9998207242739332,1.0
hashed_perceptron,next_line,456.hmmer,0.998238550578762,0.9989934574735783,1.0
hashed_perceptron,next_line,458.sjeng,0.9787063720781302,0.9851104707012489,1.0
hashed_perceptron,next_line,459.GemsFDTD,0.9661262005576785,0.9755757513167407,1.0
hashed_perceptron,next_line,462.libquantum,,0.9538461538461539,1.0
hashed_perceptron,next_line,464.h264ref,0.9908381824935001,0.9949238578680205,1.0
hashed_perceptron,next_line,465.tonto,0.998693806465658,0.9990203548492435,1.0
hashed_perceptron,next_line,470.lbm,0.9352564102564102,0.9519230769230768,1.0
hashed_perceptron,next_line,471.omnetpp,0.95828331332533,0.9689875950380151,1.0
hashed_perceptron,next_line,473.astar,0.9763130792996911,0.9824922760041195,1.0
hashed_perceptron,next_line,481.wrf,0.9961120640365925,0.9963407661520871,1.0
hashed_perceptron,next_line,482.sphinx3,0.953884978084739,0.9661309602868908,1.0
hashed_perceptron,next_line,483.xalancbmk,,,
hashed_perceptron,next_line,600.perlbench,0.9980743893787372,0.9985811290159116,1.0
hashed_perceptron,next_line,602.gcc,0.9814541622760801,0.9833508956796628,1.0
hashed_perceptron,next_line,603.bwaves,1.0000000000000002,1.0005300821627352,1.0
hashed_perceptron,next_line,605.mcf,0.9639065817409767,0.9715249156987636,1.0
hashed_perceptron,next_line,607.cactuBSSN,0.9796937323924019,0.9849655518674515,1.0
hashed_perceptron,next_line,619.lbm,0.9363560150901216,0.9531926784965769,1.0
hashed_perceptron,next_line,620.omnetpp,0.9631459341962256,0.9728287718604881,1.0
hashed_perceptron,next_line,621.wrf,1.0,1.0,1.0
hashed_perceptron,next_line,623.xalancbmk,0.9907842768478464,0.9926650366748166,1.0
hashed_perceptron,next_line,625.x264,0.9879945891105848,0.9917145755833614,1.0
hashed_perceptron,next_line,627.cam4,0.9528175740210126,0.9644699140401146,1.0
hashed_perceptron,next_line,628.pop2,0.9435037720033528,0.9533948030176026,1.0
hashed_perceptron,next_line,631.deepsjeng,0.97373572593801,0.9807504078303425,1.0
hashed_perceptron,next_line,638.imagick,0.9997821983447073,0.9999273994482357,1.0
hashed_perceptron,next_line,641.leela,0.9994279176201374,0.9994279176201374,1.0
hashed_perceptron,next_line,644.nab,0.9987449314539485,0.9980691253137671,1.0
hashed_perceptron,next_line,648.exchange2,0.9999169435215948,0.9998338870431894,1.0
hashed_perceptron,next_line,649.fotonik3d,0.9402090655132015,0.9559790934486798,1.0
hashed_perceptron,next_line,654.roms,0.9637376743100531,0.9744150767255968,1.0
hashed_perceptron,next_line,657.xz,0.9697154471544717,0.9758130081300813,1.0
hashed_perceptron,next_line,cassandra,0.9482149217743924,,1.0
hashed_perceptron,next_line,classification,0.9547931231806533,0.9670589406115492,1.0
hashed_perceptron,next_line,cloud9,0.9580193756727664,0.9664513814137065,1.0
hashed_perceptron,next_line,nutch,0.9432774620530897,,1.0
hashed_perceptron,no,401.bzip2,0.9752206381534284,0.9809911744738627,1.0
hashed_perceptron,no,403.gcc,0.9938574938574937,0.9966495421040874,1.0
hashed_perceptron,no,410.bwaves,0.9310327093190701,0.9484416786669408,1.0
hashed_perceptron,no,416.gamess,0.9998840579710145,0.9998840579710145,1.0
hashed_perceptron,no,429.mcf,0.9487196280044536,0.9624074923046697,1.0
hashed_perceptron,no,433.milc,0.9560418154665282,0.967144990585027,1.0
hashed_perceptron,no,435.gromacs,0.9983094781922686,0.9981967767384198,1.0
hashed_perceptron,no,436.cactusADM,0.9526883889841622,0.969181882376677,1.0
hashed_perceptron,no,437.leslie3d,0.9377757075924049,0.9528180398388909,1.0
hashed_perceptron,no,444.namd,0.9972782172322872,0.9981287743471974,1.0
hashed_perceptron,no,445.gobmk,0.9991162174105171,0.9993371630578878,1.0
hashed_perceptron,no,447.dealII,0.9989611468938292,0.9991689175150634,1.0
hashed_perceptron,no,450.soplex,0.9454756380510441,0.9568656401603037,1.0
hashed_perceptron,no,453.povray,0.9998755754634815,0.9998755754634815,1.0
hashed_perceptron,no,454.calculix,0.9993714644877434,0.9995510460626739,1.0
hashed_perceptron,no,456.hmmer,0.9973464746019711,0.9987364164771291,1.0
hashed_perceptron,no,458.sjeng,0.9792166266986408,0.9852917665867306,1.0
hashed_perceptron,no,459.GemsFDTD,0.9672225416906268,0.9765277850384235,1.0
hashed_perceptron,no,462.libquantum,,0.9486192166536309,1.0
hashed_perceptron,no,464.h264ref,0.9906162820187675,0.9948009130103981,1.0
