mitigation,workload,branch_predictor,prefetcher,WS,MPKI,RBMPKI,NRH,Prac Level,Total Energy,Mitigation Energy,ME Percentage
ABO_Only,605.mcf,hashed_perceptron,spp_dev,1.0206,44.450838412873296,20.646307511424144,256.0,1.0,68371263.70063618,2106.3875111628804,0.0030808082184727572
ABO_Only,623.xalancbmk,hashed_perceptron,spp_dev,5.2829999999999995,2.029240557477731,1.6313648806532242,1024.0,2.0,22535051.4558,0.0,0.0
ABO_Only,654.roms,hashed_perceptron,spp_dev,1.3397999999999999,58.18569038913935,20.587013338323178,512.0,1.0,61261784.00850001,0.0,0.0
ABO_Only,classification,hashed_perceptron,spp_dev,0.37759,195.22558297909205,205.94223243425387,2048.0,1.0,305541451.498907,43790.6877320704,0.014332159357509318
ABO_Only,623.xalancbmk,hashed_perceptron,spp_dev,5.2829999999999995,2.029240557477731,1.6313648806532242,2048.0,1.0,22535051.4558,0.0,0.0
ABO_Only,445.gobmk,hashed_perceptron,spp_dev,9.053999999999998,0.018027462698769724,0.07226230819486054,1024.0,1.0,12987230.8979,0.0,0.0
ABO_Only,600.perlbench,hashed_perceptron,spp_dev,9.823,0.1417229727035868,0.08423140125541895,1024.0,2.0,12159680.11405,0.0,0.0
ABO_Only,623.xalancbmk,hashed_perceptron,spp_dev,5.2829999999999995,2.029240557477731,1.6313648806532242,1024.0,4.0,22535051.4558,0.0,0.0
ABO_Only,435.gromacs,hashed_perceptron,spp_dev,8.902999999999999,0.09991033569435977,0.10763614426901642,4096.0,1.0,12794420.9564,0.0,0.0
ABO_Only,429.mcf,hashed_perceptron,spp_dev,1.4025,61.4139227540028,39.85183149208024,128.0,1.0,75605629.43435256,14633.850077552643,0.019355503270109053
ABO_Only,620.omnetpp,hashed_perceptron,spp_dev,0.9976,33.02837571643946,27.092110525455002,1024.0,2.0,72844457.45770001,0.0,0.0
ABO_Only,654.roms,hashed_perceptron,spp_dev,1.3397999999999999,58.18569038913935,20.587013338323178,2048.0,1.0,61261784.00850001,0.0,0.0
ABO_Only,445.gobmk,hashed_perceptron,spp_dev,9.053999999999998,0.018027462698769724,0.07226230819486054,2048.0,1.0,12987230.8979,0.0,0.0
ABO_Only,607.cactuBSSN,hashed_perceptron,spp_dev,2.7729,19.700752212352814,17.6590125773771,512.0,1.0,61748182.18700001,0.0,0.0
ABO_Only,482.sphinx3,hashed_perceptron,spp_dev,2.0232,40.575616579212564,16.51234618129023,2048.0,1.0,106792296.72185001,0.0,0.0
ABO_Only,627.cam4,hashed_perceptron,spp_dev,1.8505,36.83700767047391,13.424077005172299,2048.0,1.0,99452018.39617501,0.0,0.0
ABO_Only,473.astar,hashed_perceptron,spp_dev,7.667,2.1339480073297143,1.9257577141069544,512.0,1.0,17333334.710700005,0.0,0.0
ABO_Only,436.cactusADM,hashed_perceptron,spp_dev,3.7763999999999998,18.268608980987157,12.23190876995828,128.0,1.0,50998425.22931243,35365.137687418886,0.069345548472136
ABO_Only,483.xalancbmk,hashed_perceptron,spp_dev,1.0214,48.31087206883674,21.84467350974397,1024.0,2.0,140973861.38355,0.0,0.0
ABO_Only,623.xalancbmk,hashed_perceptron,spp_dev,5.2829999999999995,2.029240557477731,1.6313648806532242,1024.0,1.0,22535051.4558,0.0,0.0
ABO_Only,410.bwaves,hashed_perceptron,spp_dev,1.0632000000000001,87.83924597847674,32.736405253858806,1024.0,2.0,91713015.25840001,0.0,0.0
ABO_Only,453.povray,hashed_perceptron,spp_dev,8.038,0.012814543930381518,0.019596802549797253,1024.0,4.0,14215507.895375,0.0,0.0
ABO_Only,456.hmmer,hashed_perceptron,spp_dev,7.933,0.7006988980314155,0.6122521732221804,4096.0,1.0,15038361.843125,0.0,0.0
ABO_Only,603.bwaves,hashed_perceptron,spp_dev,11.323,0.14758742245094916,0.2711938569691477,4096.0,1.0,11345687.7073,0.0,0.0
ABO_Only,628.pop2,hashed_perceptron,spp_dev,2.415,30.351523199359892,12.079428835147748,128.0,1.0,80375896.12708749,25941.825137479682,0.03227562787786701
ABO_Only,nutch,hashed_perceptron,spp_dev,0.25534,322.16318050360553,377.39294728391496,512.0,1.0,493394804.49607676,325824.8892267213,0.06603735715447975
ABO_Only,657.xz,hashed_perceptron,spp_dev,4.881,3.6532033464152613,3.535136011143653,1024.0,2.0,27089132.294524997,0.0,0.0
ABO_Only,465.tonto,hashed_perceptron,spp_dev,9.102,0.10954425751027605,0.10542522546735977,2048.0,1.0,12631703.215875,0.0,0.0
ABO_Only,433.milc,hashed_perceptron,spp_dev,0.8299000000000001,108.55778040162303,43.293732521203665,1024.0,2.0,228444135.254525,0.0,0.0
ABO_Only,447.dealII,hashed_perceptron,spp_dev,9.629,0.10601722219872325,0.08966188627544011,2048.0,1.0,12484350.41915,0.0,0.0
ABO_Only,447.dealII,hashed_perceptron,spp_dev,9.629,0.10601722219872325,0.08966188627544011,1024.0,1.0,12484350.41915,0.0,0.0
