workload,NRH,Prac Level,Mitigations,WS
410.bwaves,1024.0,1.0,ABO-Only,1.0
429.mcf,1024.0,1.0,ABO-Only,1.0
433.milc,1024.0,1.0,ABO-Only,1.0
436.cactusADM,1024.0,1.0,ABO-Only,1.0
450.soplex,1024.0,1.0,ABO-Only,1.0
459.GemsFDTD,1024.0,1.0,ABO-Only,1.0
470.lbm,1024.0,1.0,ABO-Only,1.0
471.omnetpp,1024.0,1.0,ABO-Only,1.0
473.astar,1024.0,1.0,ABO-Only,1.0
482.sphinx3,1024.0,1.0,ABO-Only,1.0
483.xalancbmk,1024.0,1.0,ABO-Only,1.0
605.mcf,1024.0,1.0,ABO-Only,1.0
607.cactuBSSN,1024.0,1.0,ABO-Only,1.0
619.lbm,1024.0,1.0,ABO-Only,1.0
620.omnetpp,1024.0,1.0,ABO-Only,1.0
627.cam4,1024.0,1.0,ABO-Only,0.9981626587408808
628.pop2,1024.0,1.0,ABO-Only,1.0000824538258573
649.fotonik3d,1024.0,1.0,ABO-Only,1.0046978629329402
654.roms,1024.0,1.0,ABO-Only,1.0
cassandra,1024.0,1.0,ABO-Only,0.9973769743969892
classification,1024.0,1.0,ABO-Only,0.9975672959966154
cloud9,1024.0,1.0,ABO-Only,1.0018238190771476
nutch,1024.0,1.0,ABO-Only,1.0012411278749564
SPEC2K6 (26),1024.0,1.0,ABO-Only,0.9999766458263492
SPEC2K17 (20),1024.0,1.0,ABO-Only,1.0001465248137034
CloudSuite (4),1024.0,1.0,ABO-Only,0.9973769743969892
All (50),1024.0,1.0,ABO-Only,0.9999597524969672
410.bwaves,1024.0,1.0,ABO+ACB-RFM,0.9876787057938295
429.mcf,1024.0,1.0,ABO+ACB-RFM,0.9804829403803692
433.milc,1024.0,1.0,ABO+ACB-RFM,0.9736112784672852
436.cactusADM,1024.0,1.0,ABO+ACB-RFM,0.9908557848784646
450.soplex,1024.0,1.0,ABO+ACB-RFM,0.9825660298569788
459.GemsFDTD,1024.0,1.0,ABO+ACB-RFM,0.9945840782416658
470.lbm,1024.0,1.0,ABO+ACB-RFM,0.9679818479768058
471.omnetpp,1024.0,1.0,ABO+ACB-RFM,0.9885774722369116
473.astar,1024.0,1.0,ABO+ACB-RFM,0.9977827050997782
482.sphinx3,1024.0,1.0,ABO+ACB-RFM,0.9856168446026096
483.xalancbmk,1024.0,1.0,ABO+ACB-RFM,0.9931466614450752
605.mcf,1024.0,1.0,ABO+ACB-RFM,0.9932774746687452
607.cactuBSSN,1024.0,1.0,ABO+ACB-RFM,0.9859353023909986
619.lbm,1024.0,1.0,ABO+ACB-RFM,0.9782257444025544
620.omnetpp,1024.0,1.0,ABO+ACB-RFM,0.9939855653568564
627.cam4,1024.0,1.0,ABO+ACB-RFM,0.9952985679546068
628.pop2,1024.0,1.0,ABO+ACB-RFM,0.988126649076517
649.fotonik3d,1024.0,1.0,ABO+ACB-RFM,0.9840641120117908
654.roms,1024.0,1.0,ABO+ACB-RFM,0.9783549783549784
cassandra,1024.0,1.0,ABO+ACB-RFM,0.974824656440668
classification,1024.0,1.0,ABO+ACB-RFM,0.9948966100798562
cloud9,1024.0,1.0,ABO+ACB-RFM,0.985774211198249
nutch,1024.0,1.0,ABO+ACB-RFM,0.97610828840709
SPEC2K6 (26),1024.0,1.0,ABO+ACB-RFM,0.9945172319890933
SPEC2K17 (20),1024.0,1.0,ABO+ACB-RFM,0.9941775651793004
CloudSuite (4),1024.0,1.0,ABO+ACB-RFM,0.974824656440668
All (50),1024.0,1.0,ABO+ACB-RFM,0.9924597136011332
410.bwaves,1024.0,1.0,TPRAC,0.9310571858540254
429.mcf,1024.0,1.0,TPRAC,0.9362490205855118
433.milc,1024.0,1.0,TPRAC,0.9174599349319196
436.cactusADM,1024.0,1.0,TPRAC,0.933588200346137
450.soplex,1024.0,1.0,TPRAC,0.9353794759369454
459.GemsFDTD,1024.0,1.0,TPRAC,0.963350510043117
470.lbm,1024.0,1.0,TPRAC,0.9362158073868648
471.omnetpp,1024.0,1.0,TPRAC,0.953358011634056
473.astar,1024.0,1.0,TPRAC,0.970914308073562
482.sphinx3,1024.0,1.0,TPRAC,0.939996045867932
483.xalancbmk,1024.0,1.0,TPRAC,0.9520266301155276
605.mcf,1024.0,1.0,TPRAC,0.9521628994544038
607.cactuBSSN,1024.0,1.0,TPRAC,0.9469508456850227
619.lbm,1024.0,1.0,TPRAC,0.9382165115026544
620.omnetpp,1024.0,1.0,TPRAC,0.9603047313552524
627.cam4,1024.0,1.0,TPRAC,0.9302891110510672
628.pop2,1024.0,1.0,TPRAC,0.9549389841688654
649.fotonik3d,1024.0,1.0,TPRAC,0.9602063375092114
654.roms,1024.0,1.0,TPRAC,0.8990147783251231
cassandra,1024.0,1.0,TPRAC,0.9427211039516452
classification,1024.0,1.0,TPRAC,0.9246126183298956
cloud9,1024.0,1.0,TPRAC,0.9472916286704358
nutch,1024.0,1.0,TPRAC,0.9356940619788232
SPEC2K6 (26),1024.0,1.0,TPRAC,0.9706274803625056
SPEC2K17 (20),1024.0,1.0,TPRAC,0.9706252934923324
CloudSuite (4),1024.0,1.0,TPRAC,0.9427211039516452
All (50),1024.0,1.0,TPRAC,0.9658712887534846
