workload,NRH,Prac Level,Mitigations,WS
410.bwaves,1024.0,1.0,ABO-Only,1.0
433.milc,1024.0,1.0,ABO-Only,1.0
436.cactusADM,1024.0,1.0,ABO-Only,1.0
450.soplex,1024.0,1.0,ABO-Only,1.0
459.GemsFDTD,1024.0,1.0,ABO-Only,1.0
470.lbm,1024.0,1.0,ABO-Only,1.0
471.omnetpp,1024.0,1.0,ABO-Only,1.0
473.astar,1024.0,1.0,ABO-Only,1.0
482.sphinx3,1024.0,1.0,ABO-Only,1.0
483.xalancbmk,1024.0,1.0,ABO-Only,1.0
605.mcf,1024.0,1.0,ABO-Only,1.0
607.cactuBSSN,1024.0,1.0,ABO-Only,1.0
619.lbm,1024.0,1.0,ABO-Only,1.0
620.omnetpp,1024.0,1.0,ABO-Only,1.0
627.cam4,1024.0,1.0,ABO-Only,1.001860910250957
628.pop2,1024.0,1.0,ABO-Only,1.0
649.fotonik3d,1024.0,1.0,ABO-Only,1.0086689038031318
654.roms,1024.0,1.0,ABO-Only,1.0
cloud9,1024.0,1.0,ABO-Only,1.0
nutch,1024.0,1.0,ABO-Only,0.9957937373422652
SPEC2K6 (25),1024.0,1.0,ABO-Only,1.0
SPEC2K17 (19),1024.0,1.0,ABO-Only,1.0005829879554993
CloudSuite (4),1024.0,1.0,ABO-Only,0.997894652426931
All (48),1024.0,1.0,ABO-Only,1.0000969606758572
410.bwaves,1024.0,1.0,ABO+ACB-RFM,0.9849895496864906
433.milc,1024.0,1.0,ABO+ACB-RFM,0.978279232532883
436.cactusADM,1024.0,1.0,ABO+ACB-RFM,1.0065725477824223
450.soplex,1024.0,1.0,ABO+ACB-RFM,0.980927291886196
459.GemsFDTD,1024.0,1.0,ABO+ACB-RFM,0.994690079385942
470.lbm,1024.0,1.0,ABO+ACB-RFM,0.9784925770841264
471.omnetpp,1024.0,1.0,ABO+ACB-RFM,0.9904842461408332
473.astar,1024.0,1.0,ABO+ACB-RFM,0.9937589390196334
482.sphinx3,1024.0,1.0,ABO+ACB-RFM,0.970175526831967
483.xalancbmk,1024.0,1.0,ABO+ACB-RFM,0.9922579380635048
605.mcf,1024.0,1.0,ABO+ACB-RFM,0.9889410843609316
607.cactuBSSN,1024.0,1.0,ABO+ACB-RFM,0.9756850914053802
619.lbm,1024.0,1.0,ABO+ACB-RFM,0.9715636197301212
620.omnetpp,1024.0,1.0,ABO+ACB-RFM,0.9932865731462928
627.cam4,1024.0,1.0,ABO+ACB-RFM,0.9968630370055296
628.pop2,1024.0,1.0,ABO+ACB-RFM,0.9810581049851436
649.fotonik3d,1024.0,1.0,ABO+ACB-RFM,0.9948732289336316
654.roms,1024.0,1.0,ABO+ACB-RFM,0.9840292926145215
cloud9,1024.0,1.0,ABO+ACB-RFM,0.9859292554230992
nutch,1024.0,1.0,ABO+ACB-RFM,0.9727371864776444
SPEC2K6 (25),1024.0,1.0,ABO+ACB-RFM,0.9948515110415233
SPEC2K17 (19),1024.0,1.0,ABO+ACB-RFM,0.9939186160136778
CloudSuite (4),1024.0,1.0,ABO+ACB-RFM,0.9793110077938798
All (48),1024.0,1.0,ABO+ACB-RFM,0.9937137584034158
410.bwaves,1024.0,1.0,TPRAC,0.9294128823864716
433.milc,1024.0,1.0,TPRAC,0.9434053336551228
436.cactusADM,1024.0,1.0,TPRAC,0.952257012908484
450.soplex,1024.0,1.0,TPRAC,0.9482613277133826
459.GemsFDTD,1024.0,1.0,TPRAC,0.967930182429946
470.lbm,1024.0,1.0,TPRAC,0.9358583936048724
471.omnetpp,1024.0,1.0,TPRAC,0.9523155001057308
473.astar,1024.0,1.0,TPRAC,0.9772461318424134
482.sphinx3,1024.0,1.0,TPRAC,0.8874918271890561
483.xalancbmk,1024.0,1.0,TPRAC,0.9512936103488828
605.mcf,1024.0,1.0,TPRAC,0.9564494030142884
607.cactuBSSN,1024.0,1.0,TPRAC,0.942103939949
619.lbm,1024.0,1.0,TPRAC,0.9385530227948462
620.omnetpp,1024.0,1.0,TPRAC,0.9608216432865732
627.cam4,1024.0,1.0,TPRAC,0.9340174393874946
628.pop2,1024.0,1.0,TPRAC,0.93904754044239
649.fotonik3d,1024.0,1.0,TPRAC,0.945469798657718
654.roms,1024.0,1.0,TPRAC,0.9373636646930508
cloud9,1024.0,1.0,TPRAC,0.9501661129568104
nutch,1024.0,1.0,TPRAC,0.952134288830036
SPEC2K6 (25),1024.0,1.0,TPRAC,0.9709426866544912
SPEC2K17 (19),1024.0,1.0,TPRAC,0.9717595515626066
CloudSuite (4),1024.0,1.0,TPRAC,0.9511496918101444
All (48),1024.0,1.0,TPRAC,0.9706371230067322
