workload,Benchmark_Types,Nrh,prac-level,Mitigations,WS
HHHH-0,HHHH (15),1024.0,1.0,ABO-Only,0.999996430627511
HHHH-1,HHHH (15),1024.0,1.0,ABO-Only,0.9999944038533444
HHHH-2,HHHH (15),1024.0,1.0,ABO-Only,0.9999956097940405
HHHH-3,HHHH (15),1024.0,1.0,ABO-Only,1.0000244410881385
HHHH-4,HHHH (15),1024.0,1.0,ABO-Only,1.0
HHHH-0,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9896659160090724
HHHH-1,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9884581401423111
HHHH-2,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9926990318103536
HHHH-3,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9887701063398726
HHHH-4,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9887226663663002
HHHH-0,HHHH (15),1024.0,1.0,TPRAC,0.9752209185023508
HHHH-1,HHHH (15),1024.0,1.0,TPRAC,0.9745658970566448
HHHH-2,HHHH (15),1024.0,1.0,TPRAC,0.980623475448999
HHHH-3,HHHH (15),1024.0,1.0,TPRAC,0.973608050796346
HHHH-4,HHHH (15),1024.0,1.0,TPRAC,0.9742636658339268
HHLL-0,HHLL (15),1024.0,1.0,ABO-Only,1.0
HHLL-1,HHLL (15),1024.0,1.0,ABO-Only,1.0
HHLL-2,HHLL (15),1024.0,1.0,ABO-Only,1.0
HHLL-3,HHLL (15),1024.0,1.0,ABO-Only,0.999985843699756
HHLL-4,HHLL (15),1024.0,1.0,ABO-Only,1.0
HHLL-0,HHLL (15),1024.0,1.0,ABO+ACB-RFM,0.9962221765607312
HHLL-1,HHLL (15),1024.0,1.0,ABO+ACB-RFM,0.9949794584453486
HHLL-2,HHLL (15),1024.0,1.0,ABO+ACB-RFM,1.0008691025317562
HHLL-3,HHLL (15),1024.0,1.0,ABO+ACB-RFM,0.992251934916043
HHLL-4,HHLL (15),1024.0,1.0,ABO+ACB-RFM,0.9994407349177744
HHLL-0,HHLL (15),1024.0,1.0,TPRAC,0.9810810960191112
HHLL-1,HHLL (15),1024.0,1.0,TPRAC,0.9845600456813756
HHLL-2,HHLL (15),1024.0,1.0,TPRAC,0.9941038523430764
HHLL-3,HHLL (15),1024.0,1.0,TPRAC,0.9825472259584528
HHLL-4,HHLL (15),1024.0,1.0,TPRAC,0.984244170701758
HHMM-0,HHMM (15),1024.0,1.0,ABO-Only,0.9999989467194736
HHMM-1,HHMM (15),1024.0,1.0,ABO-Only,1.0
HHMM-2,HHMM (15),1024.0,1.0,ABO-Only,1.0
HHMM-3,HHMM (15),1024.0,1.0,ABO-Only,1.000065590513274
HHMM-4,HHMM (15),1024.0,1.0,ABO-Only,0.9999508807675548
HHMM-0,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.9892809337476944
HHMM-1,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.9952065976962168
HHMM-2,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.993602850497482
