workload,Channel,mitigation,RD_REQs,WR_REQs,WR_ratio
MIX27,1.0,Baseline-ClosedCap1,21590668.0,7473504.0,0.25713803235130867
MIX71,1.0,Baseline-ClosedCap1,42668661.0,16884031.0,0.2835141524752567
MIX11,1.0,Baseline-ClosedCap1,84730485.0,41336797.0,0.3278947268808413
MIX37,1.0,Baseline-ClosedCap1,1241531.0,164297.0,0.11686849315848027
MIX43,1.0,Baseline-ClosedCap1,170584.0,37333.0,0.17955722716276207
MIX84,1.0,Baseline-ClosedCap1,7654828.0,3289376.0,0.30055872496528757
MIX56,1.0,Baseline-ClosedCap1,36128004.0,16222739.0,0.3098855540598536
MIX74,1.0,Baseline-ClosedCap1,30322676.0,19345238.0,0.3894916545116028
MIX4,1.0,Baseline-ClosedCap1,44210854.0,18668331.0,0.2968920637250626
MIX53,1.0,Baseline-ClosedCap1,16230880.0,9872258.0,0.3782019617717992
MIX81,1.0,Baseline-ClosedCap1,6242830.0,3392967.0,0.3521210544389841
MIX73,1.0,Baseline-ClosedCap1,11433607.0,5398546.0,0.32072819205006037
MIX18,1.0,Baseline-ClosedCap1,12089915.0,7909469.0,0.3954856309574335
MIX62,1.0,Baseline-ClosedCap1,23143676.0,10299422.0,0.3079685380822076
MIX0,1.0,Baseline-ClosedCap1,57103649.0,33056590.0,0.3666426616282594
MIX88,1.0,Baseline-ClosedCap1,22679880.0,8985372.0,0.2837612661348787
MIX30,1.0,Baseline-ClosedCap1,1045878.0,62157.0,0.05609660344664203
MIX58,1.0,Baseline-ClosedCap1,67096783.0,22083467.0,0.2476273277995969
MIX47,1.0,Baseline-ClosedCap1,35626326.0,20161372.0,0.3613945855948385
MIX78,1.0,Baseline-ClosedCap1,6276565.0,2644952.0,0.2964688628626723
MIX28,1.0,Baseline-ClosedCap1,33790664.0,12889925.0,0.2761302990414281
MIX6,1.0,Baseline-ClosedCap1,41437233.0,21845454.0,0.3452042736428053
MIX26,1.0,Baseline-ClosedCap1,12039071.0,6022864.0,0.3334561883873461
MIX15,1.0,Baseline-ClosedCap1,8503270.0,4727445.0,0.35730835408366063
MIX64,1.0,Baseline-ClosedCap1,14882681.0,6402386.0,0.30079238181397316
MIX70,1.0,Baseline-ClosedCap1,57423583.0,21417061.0,0.2716500007280509
MIX48,1.0,Baseline-ClosedCap1,53873395.0,14247097.0,0.20914553876093556
MIX12,1.0,Baseline-ClosedCap1,27677004.0,7778606.0,0.2193899921620302
MIX54,1.0,Baseline-ClosedCap1,20488443.0,10386671.0,0.3364091546350242
MIX83,1.0,Baseline-ClosedCap1,15333902.0,3481539.0,0.18503626888150004
MIX42,1.0,Baseline-ClosedCap1,1315405.0,467593.0,0.26225099523387013
MIX31,1.0,Baseline-ClosedCap1,614782.0,339900.0,0.3560347843575138
MIX63,1.0,Baseline-ClosedCap1,21286284.0,13438991.0,0.3870089149761953
MIX9,1.0,Baseline-ClosedCap1,38085027.0,13083334.0,0.2556918717799071
MIX61,1.0,Baseline-ClosedCap1,24932374.0,16472803.0,0.3978440425456942
MIX68,1.0,Baseline-ClosedCap1,30397903.0,25092757.0,0.45219784734944585
MIX69,1.0,Baseline-ClosedCap1,4817425.0,1240417.0,0.2047621908924003
MIX67,1.0,Baseline-ClosedCap1,22709749.0,12620217.0,0.3572099956167521
MIX33,1.0,Baseline-ClosedCap1,1119745.0,298461.0,0.21044968079390441
MIX59,1.0,Baseline-ClosedCap1,35676413.0,23244425.0,0.3945026206178534
MIX20,1.0,Baseline-ClosedCap1,15864443.0,9354512.0,0.37093178523852394
MIX25,1.0,Baseline-ClosedCap1,12981360.0,5687217.0,0.3046411625267421
MIX72,1.0,Baseline-ClosedCap1,34142894.0,22645828.0,0.39877333390246045
MIX29,1.0,Baseline-ClosedCap1,14367325.0,6940329.0,0.32571999714281075
MIX14,1.0,Baseline-ClosedCap1,48028607.0,24871556.0,0.3411728448398668
MIX10,1.0,Baseline-ClosedCap1,52331138.0,26744890.0,0.33821741779948783
MIX87,1.0,Baseline-ClosedCap1,8560448.0,2666026.0,0.23747670016427241
MIX65,1.0,Baseline-ClosedCap1,23622350.0,14890007.0,0.38662933561817575
MIX46,1.0,Baseline-ClosedCap1,39259266.0,13065877.0,0.2497055191994411
MIX39,1.0,Baseline-ClosedCap1,1627091.0,444944.0,0.21473768541554558
MIX40,1.0,Baseline-ClosedCap1,2355672.0,459514.0,0.1632268702671866
MIX5,1.0,Baseline-ClosedCap1,42207170.0,14080216.0,0.2501486922842713
MIX44,1.0,Baseline-ClosedCap1,562205.0,232910.0,0.2929261804896147
MIX36,1.0,Baseline-ClosedCap1,346701.0,128117.0,0.2698233849601321
MIX86,1.0,Baseline-ClosedCap1,6349409.0,851362.0,0.11823206153896576
MIX16,1.0,Baseline-ClosedCap1,42003139.0,8379655.0,0.16631977575519136
MIX79,1.0,Baseline-ClosedCap1,5357693.0,4271477.0,0.44359763094846183
MIX19,1.0,Baseline-ClosedCap1,20359155.0,7263685.0,0.2629593843355716
MIX50,1.0,Baseline-ClosedCap1,42984773.0,16364542.0,0.275732617975456
MIX32,1.0,Baseline-ClosedCap1,1764950.0,404202.0,0.18634102174490308
MIX60,1.0,Baseline-ClosedCap1,12428783.0,5503738.0,0.3069137908719025
MIX21,1.0,Baseline-ClosedCap1,20962806.0,6964729.0,0.24938574063196053
MIX35,1.0,Baseline-ClosedCap1,1154500.0,61627.0,0.050674806167447975
MIX51,1.0,Baseline-ClosedCap1,57752933.0,23437144.0,0.2886700550856726
MIX24,1.0,Baseline-ClosedCap1,18721916.0,5790408.0,0.23622435800048988
MIX82,1.0,Baseline-ClosedCap1,9747813.0,1143933.0,0.1050275134950815
MIX13,1.0,Baseline-ClosedCap1,44695318.0,19503822.0,0.3038019200880261
MIX66,1.0,Baseline-ClosedCap1,26752817.0,19277368.0,0.41879840369965926
MIX52,1.0,Baseline-ClosedCap1,62621618.0,16690733.0,0.21044304940601244
MIX77,1.0,Baseline-ClosedCap1,4279484.0,2480549.0,0.3669433270518058
MIX22,1.0,Baseline-ClosedCap1,22491184.0,2606569.0,0.10385666796545491
MIX75,1.0,Baseline-ClosedCap1,6643366.0,2593674.0,0.28079059958601454
MIX76,1.0,Baseline-ClosedCap1,9553222.0,5033080.0,0.34505524429701234
MIX85,1.0,Baseline-ClosedCap1,6588528.0,3576088.0,0.3518173239402256
MIX55,1.0,Baseline-ClosedCap1,37259625.0,10347386.0,0.217350045353614
MIX3,1.0,Baseline-ClosedCap1,71140058.0,18260528.0,0.20425512647087124
MIX80,1.0,Baseline-ClosedCap1,3399210.0,1338948.0,0.28258829697110144
MIX89,1.0,Baseline-ClosedCap1,5255198.0,1126239.0,0.17648673801841183
MIX34,1.0,Baseline-ClosedCap1,2390831.0,217066.0,0.08323411545778073
MIX38,1.0,Baseline-ClosedCap1,1666766.0,465790.0,0.21841864879515474
MIX41,1.0,Baseline-ClosedCap1,814408.0,310888.0,0.27627219860374513
MIX1,1.0,Baseline-ClosedCap1,68949338.0,18501744.0,0.21156678198675688
MIX23,1.0,Baseline-ClosedCap1,12178011.0,7367190.0,0.376930889582563
MIX17,1.0,Baseline-ClosedCap1,14478003.0,7455144.0,0.3399030699972056
MIX7,1.0,Baseline-ClosedCap1,64357611.0,24863632.0,0.2786739028058598
MIX49,1.0,Baseline-ClosedCap1,46953205.0,28858205.0,0.3806578059951662
MIX2,1.0,Baseline-ClosedCap1,34432842.0,10601192.0,0.2354040057792735
MIX27,1.0,PRAC_WO_Mitigation-ClosedCap1,22023749.0,7728037.0,0.2597503558273779
MIX71,1.0,PRAC_WO_Mitigation-ClosedCap1,43930468.0,17909245.0,0.28960750513185596
MIX11,1.0,PRAC_WO_Mitigation-ClosedCap1,85407658.0,42067873.0,0.3300074349170587
MIX37,1.0,PRAC_WO_Mitigation-ClosedCap1,1244226.0,165183.0,0.11720018816397511
MIX43,1.0,PRAC_WO_Mitigation-ClosedCap1,170458.0,37033.0,0.17848003045915245
MIX84,1.0,PRAC_WO_Mitigation-ClosedCap1,7669066.0,3287366.0,0.3000398304849608
MIX56,1.0,PRAC_WO_Mitigation-ClosedCap1,36508287.0,16775682.0,0.31483544328313834
MIX74,1.0,PRAC_WO_Mitigation-ClosedCap1,30092399.0,19194637.0,0.389445958973877
MIX4,1.0,PRAC_WO_Mitigation-ClosedCap1,42833391.0,18363446.0,0.3000718158031599
MIX53,1.0,PRAC_WO_Mitigation-ClosedCap1,16891172.0,10270300.0,0.37812015490176676
MIX81,1.0,PRAC_WO_Mitigation-ClosedCap1,6508789.0,3514953.0,0.3506627564835567
