workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX0,256.0,1.0,HHHH (15),0.9999574275349861,,
MIX0,512.0,1.0,HHHH (15),1.000049575468927,0.9390640553457857,
MIX0,512.0,2.0,HHHH (15),0.9999544735985968,0.9390640553457857,
MIX0,512.0,4.0,HHHH (15),0.9997823276667467,0.9390640553457857,
MIX0,1024.0,1.0,HHHH (15),0.999996430627511,0.9896659160090724,
MIX0,2048.0,1.0,HHHH (15),1.0,0.9948224357296831,0.987956739072538
MIX0,4096.0,1.0,HHHH (15),1.0,0.9948224357296831,0.987956739072538
MIX1,256.0,1.0,HHHH (15),0.9981964850905283,,
MIX1,512.0,1.0,HHHH (15),0.9995779534630045,0.9387615569602513,
MIX1,512.0,2.0,HHHH (15),0.9996361157970438,0.9387615569602513,
MIX1,512.0,4.0,HHHH (15),0.9999375349890802,0.9387615569602513,
MIX1,1024.0,1.0,HHHH (15),0.9999701931765402,0.9876003650955648,
MIX1,2048.0,1.0,HHHH (15),1.0,0.9922330295817013,0.9885227299830592
MIX1,4096.0,1.0,HHHH (15),1.0,0.9922330295817013,0.9885227299830592
MIX10,256.0,1.0,HHHH (15),0.9999780807385836,,
MIX10,512.0,1.0,HHHH (15),0.9998432864355783,0.9417365936568715,
MIX10,512.0,2.0,HHHH (15),0.9998999734986759,0.9417365936568715,
MIX10,512.0,4.0,HHHH (15),0.9999549525483435,0.9417365936568715,
MIX10,1024.0,1.0,HHHH (15),1.000040034166811,0.9899205268065605,
MIX10,2048.0,1.0,HHHH (15),1.0,0.9957391592126353,0.9883867484001052
MIX10,4096.0,1.0,HHHH (15),1.0,0.9957391592126353,0.9883867484001052
MIX11,256.0,1.0,HHHH (15),0.9982962904321533,,
MIX11,512.0,1.0,HHHH (15),0.9996332668291635,,
MIX11,512.0,2.0,HHHH (15),0.9994003772118633,0.9268583911679149,
MIX11,512.0,4.0,HHHH (15),0.9995571168489923,0.9268583911679149,
MIX11,1024.0,1.0,HHHH (15),0.999704207288311,0.9850102244322486,
MIX11,2048.0,1.0,HHHH (15),0.9999794917128194,0.9911268538076012,0.9869525837964077
MIX11,4096.0,1.0,HHHH (15),1.0,0.9911268538076012,0.9869525837964077
MIX12,256.0,1.0,HHHH (15),0.9994119475956511,0.9154103176680639,
MIX12,512.0,1.0,HHHH (15),0.9999594156183234,0.9690351382802725,
MIX12,512.0,2.0,HHHH (15),1.0001192153011407,0.9690351382802725,0.9228219543325105
MIX12,512.0,4.0,HHHH (15),0.9998155160747432,0.9690351382802725,0.9228219543325105
MIX12,1024.0,1.0,HHHH (15),0.9999870344270992,0.9893587461116446,0.9803415439758627
MIX12,2048.0,1.0,HHHH (15),1.0,0.9969826004761569,0.9891006936623674
MIX12,4096.0,1.0,HHHH (15),1.0,0.9969826004761569,0.9891006936623674
MIX13,256.0,1.0,HHHH (15),0.9998154958543632,,
MIX13,512.0,1.0,HHHH (15),1.000003303862884,0.9388981048507347,
MIX13,512.0,2.0,HHHH (15),1.0000831530833725,0.9388981048507347,
MIX13,512.0,4.0,HHHH (15),1.0000916304032599,0.9388981048507347,
MIX13,1024.0,1.0,HHHH (15),0.9999944038533445,0.9884581401423113,
MIX13,2048.0,1.0,HHHH (15),1.0,0.9938272276427541,0.9873916632310998
MIX13,4096.0,1.0,HHHH (15),1.0,0.9938272276427541,0.9873916632310998
MIX14,256.0,1.0,HHHH (15),0.9999234553639774,,
