workload,Channel,interface,PRAC_WO_Mitigation-ClosedCap4,Benchmark_Types
MIX0,1.0,3200.0,0.9733940639188511,HHHH (15)
MIX0,1.0,6400.0,0.8856317405276931,HHHH (15)
MIX0,1.0,8800.0,0.858594022626989,HHHH (15)
MIX0,1.0,12800.0,0.8498510053370015,HHHH (15)
MIX0,1.0,17600.0,0.8462092572112021,HHHH (15)
MIX1,1.0,3200.0,0.9796066766783957,HHHH (15)
MIX1,1.0,6400.0,0.9274724526187722,HHHH (15)
MIX1,1.0,8800.0,0.8673673944435227,HHHH (15)
MIX1,1.0,12800.0,0.8307711266354261,HHHH (15)
MIX1,1.0,17600.0,0.8248904296226953,HHHH (15)
MIX10,1.0,3200.0,0.974085535579353,HHHH (15)
MIX10,1.0,6400.0,0.8864161254578306,HHHH (15)
MIX10,1.0,8800.0,0.8565479619446428,HHHH (15)
MIX10,1.0,12800.0,0.8440765444615972,HHHH (15)
MIX10,1.0,17600.0,0.8423765738268764,HHHH (15)
MIX11,1.0,3200.0,0.9877167287740991,HHHH (15)
MIX11,1.0,6400.0,0.9260985396417365,HHHH (15)
MIX11,1.0,8800.0,0.8695859588962741,HHHH (15)
MIX11,1.0,12800.0,0.8385027965054271,HHHH (15)
MIX11,1.0,17600.0,0.8369762451600248,HHHH (15)
MIX12,1.0,3200.0,0.9431439758734296,HHHH (15)
MIX12,1.0,6400.0,0.8707887648578883,HHHH (15)
MIX12,1.0,8800.0,0.8527253719159806,HHHH (15)
MIX12,1.0,12800.0,0.8487655691126019,HHHH (15)
MIX12,1.0,17600.0,0.8409677562068062,HHHH (15)
MIX13,1.0,3200.0,0.9718593179281799,HHHH (15)
MIX13,1.0,6400.0,0.8794608436961578,HHHH (15)
MIX13,1.0,8800.0,0.8511813108546483,HHHH (15)
MIX13,1.0,12800.0,0.8436719986983134,HHHH (15)
MIX13,1.0,17600.0,0.8356925396781643,HHHH (15)
MIX14,1.0,3200.0,0.9726465082481306,HHHH (15)
MIX14,1.0,6400.0,0.8828232605638786,HHHH (15)
MIX14,1.0,8800.0,0.8542768263940107,HHHH (15)
MIX14,1.0,12800.0,0.8430389786807265,HHHH (15)
MIX14,1.0,17600.0,0.8406656525598413,HHHH (15)
MIX15,1.0,3200.0,0.9583275269326338,MMMM (15)
MIX15,1.0,6400.0,0.9286975765889351,MMMM (15)
MIX15,1.0,8800.0,0.9186682512792704,MMMM (15)
MIX15,1.0,12800.0,0.9165133399409553,MMMM (15)
MIX15,1.0,17600.0,0.9168883687326463,MMMM (15)
MIX16,1.0,3200.0,0.9691664839705109,MMMM (15)
MIX16,1.0,6400.0,0.9094725146114946,MMMM (15)
MIX16,1.0,8800.0,0.8792064338112753,MMMM (15)
MIX16,1.0,12800.0,0.862844295207058,MMMM (15)
MIX16,1.0,17600.0,0.8648765412800573,MMMM (15)
MIX17,1.0,3200.0,0.9669497150370147,MMMM (15)
MIX17,1.0,6400.0,0.9225455940383761,MMMM (15)
MIX17,1.0,8800.0,0.9042544805083831,MMMM (15)
MIX17,1.0,12800.0,0.8943502722074317,MMMM (15)
MIX17,1.0,17600.0,0.8930419492176201,MMMM (15)
MIX18,1.0,3200.0,0.9573265348947905,MMMM (15)
MIX18,1.0,6400.0,0.9243108350441165,MMMM (15)
MIX18,1.0,8800.0,0.9133088506869227,MMMM (15)
MIX18,1.0,12800.0,0.9094596283716022,MMMM (15)
MIX18,1.0,17600.0,0.9108734896958905,MMMM (15)
MIX19,1.0,3200.0,0.9581785115361404,MMMM (15)
MIX19,1.0,6400.0,0.9028197369173742,MMMM (15)
MIX19,1.0,8800.0,0.8873739209027114,MMMM (15)
MIX19,1.0,12800.0,0.8808153956805379,MMMM (15)
MIX19,1.0,17600.0,0.8821730041328394,MMMM (15)
MIX2,1.0,3200.0,0.9501681822298285,HHHH (15)
MIX2,1.0,6400.0,0.8607633676161811,HHHH (15)
MIX2,1.0,8800.0,0.8372792868164074,HHHH (15)
MIX2,1.0,12800.0,0.8233110306641652,HHHH (15)
MIX2,1.0,17600.0,0.8174259872845943,HHHH (15)
MIX20,1.0,3200.0,0.9445645481284279,MMMM (15)
MIX20,1.0,6400.0,0.8893831557480404,MMMM (15)
MIX20,1.0,8800.0,0.8750243499425531,MMMM (15)
MIX20,1.0,12800.0,0.8688258621683096,MMMM (15)
MIX20,1.0,17600.0,0.8682848118218917,MMMM (15)
MIX21,1.0,3200.0,0.936122468344442,MMMM (15)
MIX21,1.0,6400.0,0.8807648655392479,MMMM (15)
MIX21,1.0,8800.0,0.8702584752391452,MMMM (15)
MIX21,1.0,12800.0,0.8660084121708049,MMMM (15)
MIX21,1.0,17600.0,0.8644236622303166,MMMM (15)
MIX22,1.0,3200.0,0.9515834093044221,MMMM (15)
MIX22,1.0,6400.0,0.8968483713160953,MMMM (15)
MIX22,1.0,8800.0,0.8758138467430545,MMMM (15)
MIX22,1.0,12800.0,0.8653717100684557,MMMM (15)
MIX22,1.0,17600.0,0.872024974493404,MMMM (15)
MIX23,1.0,3200.0,0.9444834801753618,MMMM (15)
MIX23,1.0,6400.0,0.8999209320332193,MMMM (15)
MIX23,1.0,8800.0,0.8897459200858697,MMMM (15)
MIX23,1.0,12800.0,0.8885721509389223,MMMM (15)
MIX23,1.0,17600.0,0.8874990764202371,MMMM (15)
MIX24,1.0,3200.0,0.9430431351748949,MMMM (15)
MIX24,1.0,6400.0,0.8976144822716607,MMMM (15)
MIX24,1.0,8800.0,0.8910437679097478,MMMM (15)
MIX24,1.0,12800.0,0.8903779402969152,MMMM (15)
MIX24,1.0,17600.0,0.8892318271500521,MMMM (15)
MIX25,1.0,3200.0,0.9416943444008885,MMMM (15)
MIX25,1.0,6400.0,0.9015223188455251,MMMM (15)
MIX25,1.0,8800.0,0.8913565278291535,MMMM (15)
MIX25,1.0,12800.0,0.8857893186647333,MMMM (15)
MIX25,1.0,17600.0,0.8848358944563576,MMMM (15)
MIX26,1.0,3200.0,0.9254232151666649,MMMM (15)
MIX26,1.0,6400.0,0.8823408709774141,MMMM (15)
