workload,Channel,PRAC_WO_Mitigation,Benchmark_Types
MIX0,1.0,0.8571173570764701,HHHH (15)
MIX0,2.0,0.8429619332441987,HHHH (15)
MIX0,4.0,0.8463223127280849,HHHH (15)
MIX0,8.0,0.8680939775838157,HHHH (15)
MIX0,16.0,0.8750791059594714,HHHH (15)
MIX1,1.0,,HHHH (15)
MIX1,2.0,0.8241359154687479,HHHH (15)
MIX1,4.0,0.8211634850572831,HHHH (15)
MIX1,8.0,0.838378402956464,HHHH (15)
MIX1,16.0,0.8482099684510869,HHHH (15)
MIX10,1.0,0.8525882139196111,HHHH (15)
MIX10,2.0,0.8448618245278995,HHHH (15)
MIX10,4.0,0.856250675608917,HHHH (15)
MIX10,8.0,0.8800611270707072,HHHH (15)
MIX10,16.0,0.8859905388485727,HHHH (15)
MIX11,1.0,0.8668575607337098,HHHH (15)
MIX11,2.0,0.8368816127523057,HHHH (15)
MIX11,4.0,0.8257068866118067,HHHH (15)
MIX11,8.0,0.8482825927158575,HHHH (15)
MIX11,16.0,0.8576983905879848,HHHH (15)
MIX12,1.0,0.8427690980036813,HHHH (15)
MIX12,2.0,0.8489522216730023,HHHH (15)
MIX12,4.0,0.868678768066223,HHHH (15)
MIX12,8.0,0.8819361283753965,HHHH (15)
MIX12,16.0,0.9011930911435475,HHHH (15)
MIX13,1.0,0.8489542737532217,HHHH (15)
MIX13,2.0,0.8269365389728013,HHHH (15)
MIX13,4.0,0.8326786742162473,HHHH (15)
MIX13,8.0,0.852534603594369,HHHH (15)
MIX13,16.0,0.8635522892034702,HHHH (15)
MIX14,1.0,0.8513055295387504,HHHH (15)
MIX14,2.0,0.839302545170388,HHHH (15)
MIX14,4.0,0.8575105290082095,HHHH (15)
MIX14,8.0,0.8783580754594956,HHHH (15)
MIX14,16.0,0.8864618807489387,HHHH (15)
MIX15,1.0,0.9134831395094375,MMMM (15)
MIX15,2.0,0.934554333338743,MMMM (15)
MIX15,4.0,0.9504263509939824,MMMM (15)
MIX15,8.0,0.9566695674325004,MMMM (15)
MIX15,16.0,0.969576146364772,MMMM (15)
MIX16,1.0,0.8568655836577598,MMMM (15)
MIX16,2.0,0.8724686748132174,MMMM (15)
MIX16,4.0,0.9014787508548091,MMMM (15)
MIX16,8.0,0.9206920585761128,MMMM (15)
MIX16,16.0,0.9357674146449754,MMMM (15)
MIX17,1.0,0.8910690860658408,MMMM (15)
MIX17,2.0,0.9055155375754522,MMMM (15)
MIX17,4.0,0.9222953855681187,MMMM (15)
MIX17,8.0,0.937205467152712,MMMM (15)
MIX17,16.0,0.9533199979178638,MMMM (15)
MIX18,1.0,0.9074187811089435,MMMM (15)
MIX18,2.0,0.9266805413102995,MMMM (15)
MIX18,4.0,0.9457563136527966,MMMM (15)
MIX18,8.0,0.9603159941871388,MMMM (15)
MIX18,16.0,0.968856754306431,MMMM (15)
MIX19,1.0,0.8786937407737165,MMMM (15)
MIX19,2.0,0.8945315486191291,MMMM (15)
MIX19,4.0,0.9252535688908717,MMMM (15)
MIX19,8.0,0.9500135971160082,MMMM (15)
MIX19,16.0,0.9584193937924385,MMMM (15)
MIX2,1.0,0.8347952598606915,HHHH (15)
MIX2,2.0,0.8339666807670627,HHHH (15)
MIX2,4.0,0.8596379478400766,HHHH (15)
MIX2,8.0,0.8785535480321967,HHHH (15)
MIX2,16.0,0.8944735125802515,HHHH (15)
MIX20,1.0,0.8675801969659535,MMMM (15)
MIX20,2.0,0.8831403624858201,MMMM (15)
MIX20,4.0,0.9036719736835056,MMMM (15)
MIX20,8.0,0.9235645811379404,MMMM (15)
MIX20,16.0,0.9409382528274005,MMMM (15)
MIX21,1.0,0.861895181553743,MMMM (15)
MIX21,2.0,0.8872803084120693,MMMM (15)
MIX21,4.0,0.9067772623290882,MMMM (15)
MIX21,8.0,0.923633100485503,MMMM (15)
MIX21,16.0,0.9385309811928284,MMMM (15)
MIX22,1.0,0.8665381149511147,MMMM (15)
MIX22,2.0,0.8880252005475291,MMMM (15)
MIX22,4.0,0.910707820982021,MMMM (15)
MIX22,8.0,0.9315254216820584,MMMM (15)
MIX22,16.0,0.9476433088432767,MMMM (15)
MIX23,1.0,0.8838872471619253,MMMM (15)
MIX23,2.0,0.9089471949902095,MMMM (15)
MIX23,4.0,0.933194525599862,MMMM (15)
MIX23,8.0,0.9503241023395238,MMMM (15)
MIX23,16.0,0.9635368519237323,MMMM (15)
MIX24,1.0,0.8852407034903214,MMMM (15)
MIX24,2.0,0.9069094997301176,MMMM (15)
MIX24,4.0,0.9311408386903214,MMMM (15)
MIX24,8.0,0.9450527119809151,MMMM (15)
MIX24,16.0,0.9564398140354331,MMMM (15)
MIX25,1.0,0.8849119947015887,MMMM (15)
MIX25,2.0,0.9090489212835983,MMMM (15)
MIX25,4.0,0.9264156159999511,MMMM (15)
MIX25,8.0,0.9325725717869088,MMMM (15)
MIX25,16.0,0.9538929309884839,MMMM (15)
MIX26,1.0,0.8694631799970663,MMMM (15)
MIX26,2.0,0.888649726425329,MMMM (15)
MIX26,4.0,0.918613695764496,MMMM (15)
MIX26,8.0,0.9379411279492794,MMMM (15)
MIX26,16.0,0.9516606959183983,MMMM (15)
