workload,Channel,Benchmark_Types,1RFM-4tREFI,1RFM-2tREFI,1RFM-1tREFI,2RFM-1tREFI,4RFM-1tREFI
MIX0,1.0,HHHH (15),0.9710272748251919,0.9401999959990375,0.8802289828643249,0.758118099636173,0.5153205772135231
MIX1,1.0,HHHH (15),0.9567982141396896,0.9358330718010204,0.8725124914752664,0.7554628156835621,0.5107434249183291
MIX10,1.0,HHHH (15),0.9703873886076909,0.9398393209402615,0.8791500350480363,0.7578064810188007,0.5154847426974206
MIX11,1.0,HHHH (15),0.9669177215380913,0.9349218384829356,0.8805672143617777,0.7529320727831835,0.5088352545264163
MIX12,1.0,HHHH (15),0.9751926188482992,0.9513315254729537,0.8989944172320544,0.8004850043860722,0.5804887681789385
MIX13,1.0,HHHH (15),0.9701060760282185,0.9400119961651003,0.880444993793551,0.760286883296046,0.5185154874894741
MIX14,1.0,HHHH (15),0.9699792811576737,0.9392413329567546,0.8776405290848561,0.7552580888061393,0.5123708400773681
MIX15,1.0,MMMM (15),0.9795362858102844,0.9600735737658682,0.9210866126986978,0.8369580189979653,0.6330352939050985
MIX16,1.0,MMMM (15),0.9740673916450131,0.9465978816376094,0.8932254420939563,0.7856883826056166,0.5542645057449738
MIX17,1.0,MMMM (15),0.9756330015809679,0.9513985598266463,0.9008302194115967,0.7970791363536487,0.5725675826300679
MIX18,1.0,MMMM (15),0.9772036039625897,0.9552976607748797,0.9077510871519247,0.8112227318165819,0.595205192219374
MIX19,1.0,MMMM (15),0.9690218769742578,0.942782804056744,0.884251674896422,0.7705644440269936,0.5343808848767463
MIX2,1.0,HHHH (15),0.970416483105811,0.9432702392379954,0.8865732127894628,0.7744598706350864,0.5359927016650845
MIX20,1.0,MMMM (15),0.9710981664755551,0.9422966517338023,0.8850008901239719,0.7682386937331084,0.5286516530489702
MIX21,1.0,MMMM (15),0.973594143408876,0.9471440776013217,0.8951367314398941,0.7877563004071837,0.5546303634818214
MIX22,1.0,MMMM (15),0.9727974118087176,0.9489949345037131,0.8998696459631188,0.7983184715573566,0.5699143165670408
MIX23,1.0,MMMM (15),0.9732673147766949,0.9467548063259161,0.8917067936351539,0.7802454156545715,0.5433758055262092
MIX24,1.0,MMMM (15),0.9764380980565659,0.9509801803453852,0.9024762030434862,0.8017868546703749,0.5721557544612471
MIX25,1.0,MMMM (15),0.9734241945662425,0.9482643252642399,0.8978975494682937,0.8010562732129118,0.5695441109261046
MIX26,1.0,MMMM (15),0.97143716342805,0.9446789654066674,0.8897674500286575,0.7788539118842792,0.539852719082976
MIX27,1.0,MMMM (15),0.9749543018937888,0.9436215316168195,0.8879662637130136,0.7734084555612835,0.5405090898463708
MIX28,1.0,MMMM (15),0.9740951267538234,0.9518012562749361,0.9065159797960483,0.8125892217075401,0.5874668393361712
MIX29,1.0,MMMM (15),0.973087416487115,0.94811221704903,0.8982055512690675,0.7942279753316331,0.5607535642251622
MIX3,1.0,HHHH (15),0.9690134491983581,0.9378907255099005,0.8762986002445274,0.7542069221936736,0.5114589595703224
MIX30,1.0,LLLL (15),0.9918382783046978,0.9846379715532906,0.9699912044798731,0.9368112856311359,0.8488534191057544
MIX31,1.0,LLLL (15),0.9914512443019936,0.9854647140143226,0.9722742988873413,0.9406401923725799,0.858904680947666
MIX32,1.0,LLLL (15),0.990997951684085,0.98275189735183,0.964958961447292,0.9328010680641303,0.847456865460514
MIX33,1.0,LLLL (15),0.988661073423788,0.9776350825233572,0.9573369452536336,0.9105139246612481,0.7889987441406154
MIX34,1.0,LLLL (15),0.9879386181393754,0.9754775169979613,0.9517589816755387,0.9083515742139671,0.7889930794578691
MIX35,1.0,LLLL (15),0.9924973519201788,0.9849396666366435,0.9684371878365629,0.9362053250506666,0.8566049748677073
MIX36,1.0,LLLL (15),0.994072921088366,0.9889752327399284,0.9784382841780799,0.9561441330471261,0.8925008392486464
MIX37,1.0,LLLL (15),0.9909807970279894,0.9827286611119741,0.9647003276303355,0.9259605571902136,0.8189132152792078
MIX38,1.0,LLLL (15),0.9849322449666953,0.9699223199436112,0.940328480630417,0.8827105039807952,0.7383411955645091
MIX39,1.0,LLLL (15),0.9893070500492204,0.978814460672719,0.9577616531343416,0.9167120377391423,0.8113375177672277
MIX4,1.0,HHHH (15),0.9738128550478441,0.9482780760518704,0.8865679139142958,0.7766430081934926,0.5432652468682799
MIX40,1.0,LLLL (15),0.9840302412440843,0.9691103476028861,0.9346432598407123,0.8687684266768967,0.7167720498100534
MIX41,1.0,LLLL (15),0.989297890548991,0.979487449313957,0.9606116618052117,0.9190585142091573,0.8242218998120323
MIX42,1.0,LLLL (15),0.9888304249299722,0.9765219183783459,0.9509533304205029,0.9040867113892458,0.7832360577665046
MIX43,1.0,LLLL (15),0.9969045201930341,0.9933740952596329,0.9882223406593774,0.9756761190958486,0.9403709756993471
MIX44,1.0,LLLL (15),0.9907730402390468,0.9817366170794651,0.9625042014326295,0.906331660603234,0.7863705288461943
MIX45,1.0,HHMM (15),0.9708229349582547,0.9407945519590706,0.8809411346194527,0.7642211381154026,0.5228724715325095
MIX46,1.0,HHMM (15),0.9706842275650835,0.945841601506013,0.901216866424024,0.8144455806088794,0.6113844163378901
MIX47,1.0,HHMM (15),0.9653836013770157,0.9447574625638093,0.8848444825798041,0.7616707830482544,0.522902492072384
MIX48,1.0,HHMM (15),0.9747237917960749,0.9499826525084507,0.8965596845450166,0.7861293598993838,0.5539307882553207
MIX49,1.0,HHMM (15),0.9702558439909755,0.9393911508330574,0.8790901997263513,0.7590256973007494,0.5169307211467203
MIX5,1.0,HHHH (15),0.9705612083682316,0.9454703743509375,0.8933076545845637,0.7938392096640738,0.5785451106650613
MIX50,1.0,HHMM (15),0.9768458335035584,0.9500555528597115,0.9011707457003549,0.8027518276293376,0.5845367247963165
MIX51,1.0,HHMM (15),0.9702915555492188,0.9424136639780748,0.883636881055414,0.7646256793992331,0.5270424800773237
MIX52,1.0,HHMM (15),0.9719358711998399,0.9423929853275778,0.8865480589204594,0.7697844899151075,0.5336700160430309
MIX53,1.0,HHMM (15),0.9792155223717872,0.9505110130024009,0.8981618669870826,0.7955300033708312,0.5726276637814397
MIX54,1.0,HHMM (15),0.9718993294263989,0.9449647137486772,0.8895314620642019,0.7777256929698443,0.542529415618386
MIX55,1.0,HHMM (15),0.9679608377328036,0.9369924872397161,0.8806461767695992,0.7668437072319568,0.5296028179912204
MIX56,1.0,HHMM (15),0.9763807355635198,0.9514690265254913,0.9021333625141204,0.7990028177134507,0.5824594451752532
MIX57,1.0,HHMM (15),0.9704842440788644,0.9400710052874331,0.8805950448549984,0.7608182739287863,0.5197882717025039
MIX58,1.0,HHMM (15),0.9700175737876394,0.9400170380103141,0.8792482137032105,0.7598641718708337,0.517862840162771
MIX59,1.0,HHMM (15),0.969904828009825,0.9423366398183554,0.8878586278898444,0.7742841936122598,0.5439125655918794
MIX6,1.0,HHHH (15),0.9684122651581681,0.939717582293494,0.8829218344203486,0.7635055336368016,0.5227279768976334
MIX60,1.0,HHLL (15),0.9809074501567275,0.9653090835799916,0.9232776807896477,0.8456859160974588,0.6710762892792925
MIX61,1.0,HHLL (15),0.9829774387737846,0.9638101511021171,0.9255422632405395,0.8478297367099699,0.6801472903554431
MIX62,1.0,HHLL (15),0.9783173604883344,0.9561740459539905,0.9111189048192608,0.8221786159046882,0.6226095732947302
MIX63,1.0,HHLL (15),0.9811456059125528,0.9639952194023991,0.92960071977015,0.860262762232054,0.7077430984780055
MIX64,1.0,HHLL (15),0.9837570491453301,0.9656375269839498,0.9319624066580822,0.8627675826366995,0.694575544197909
MIX65,1.0,HHLL (15),0.9792041438829902,0.9631185237148354,0.9248491607115426,0.8474516188306761,0.6769594693810482
MIX66,1.0,HHLL (15),0.979917927089617,0.9630103205633039,0.9204545331283869,0.8335312496717542,0.6432398639931959
MIX67,1.0,HHLL (15),0.9743572471630588,0.9482864798970541,0.9031764155679058,0.810695962243389,0.5929396593908219
