workload,Channel,Benchmark_Types,1RFM-4tREFI,1RFM-2tREFI,1RFM-1tREFI,2RFM-1tREFI,4RFM-1tREFI
MIX0,1.0,HHHH (15),0.9752209185023509,0.9509700149323983,0.9021820628879434,0.8054373755559451,0.5970313804322949
MIX1,1.0,HHHH (15),0.9768472709611938,0.9504110925211324,0.8998589196535726,0.8009184522317295,0.5966790697460745
MIX10,1.0,HHHH (15),0.9750855969684524,0.9501063062103791,0.9005266248702763,0.8028673081153901,0.5950448927646882
MIX11,1.0,HHHH (15),0.9712938734139495,0.94561747796977,0.8956595607272418,0.7897075770992876,0.5789290331275858
MIX12,1.0,HHHH (15),0.9803415439758627,0.9614521142139808,0.9228219543325105,0.8542164982058243,0.6695920544799507
MIX13,1.0,HHHH (15),0.9745658970566449,0.950423110771786,0.9022448243390023,0.8076400997143114,0.6018305472091926
MIX14,1.0,HHHH (15),0.9754124033454553,0.9504843907333255,0.8998290102952436,0.8011905688630577,0.5919844632936253
MIX15,1.0,MMMM (15),0.9839513193993992,0.9669682788737316,0.9338750888490438,0.863344247279612,0.6876057220402949
MIX16,1.0,MMMM (15),0.9786741996379132,0.9556134204933192,0.9112744331139883,0.8266031568186972,0.6280624303730219
MIX17,1.0,MMMM (15),0.9801329797397008,0.9588457180572757,0.9171745934466228,0.8329315467849386,0.6399451822905118
MIX18,1.0,MMMM (15),0.9802321073980864,0.9607350432630489,0.9215939273072671,0.8427799888531736,0.6579566468362271
MIX19,1.0,MMMM (15),0.9818353363369697,0.9557585433540255,0.9082934963321664,0.8137624588814922,0.6078133780151017
MIX2,1.0,HHHH (15),0.9792522663075907,0.9565998541834192,0.9109786090093028,0.8291355236457948,0.6237766282576502
MIX20,1.0,MMMM (15),0.9766033813090025,0.9517959405083294,0.9049213126232307,0.8115052742817076,0.6040724271369329
MIX21,1.0,MMMM (15),0.9770969810635209,0.9573529834198986,0.9137910872906769,0.8325026667855684,0.6333570463171855
MIX22,1.0,MMMM (15),0.9791927497364675,0.9626927905623123,0.9175955317567255,0.8431114436594512,0.6441422954021031
MIX23,1.0,MMMM (15),0.9783231340189666,0.9566318344137901,0.9101767840921468,0.820655434605109,0.6155105539787072
MIX24,1.0,MMMM (15),0.9823070518809983,0.957353221771349,0.9175599200038159,0.8384879699557576,0.6461752305793654
MIX25,1.0,MMMM (15),0.979554285279239,0.9602578421585075,0.9212828310504997,0.839404637881915,0.6404507281985229
MIX26,1.0,MMMM (15),0.9771298503486368,0.9550086378435618,0.9106996629301696,0.8237101659057798,0.619361823751875
MIX27,1.0,MMMM (15),0.9766642129414081,0.9547343533555108,0.9099202845461929,0.8249485549561336,0.6156916113386524
MIX28,1.0,MMMM (15),0.9803301046539815,0.960343840987961,0.9202596092315845,0.8435761681336419,0.6527982868760702
MIX29,1.0,MMMM (15),0.9789442325295215,0.9577916310936879,0.9165796247039015,0.831583775944494,0.6328581924361278
MIX3,1.0,HHHH (15),0.9749618774572116,0.9498620222979208,0.8993605906846556,0.801364588174635,0.5910163731905176
MIX30,1.0,LLLL (15),0.9940824395166723,0.988484720028917,0.9776344424407638,0.9527850515057148,0.8749319594768816
MIX31,1.0,LLLL (15),0.9958869094603576,0.9889428584688165,0.9761306366236664,0.9511390823334178,0.8856671710584638
MIX32,1.0,LLLL (15),0.9934991911901543,0.98788092278659,0.9735785386839797,0.9495473900306085,0.8778700563803565
MIX33,1.0,LLLL (15),0.9926265468736308,0.9844481982960722,0.9679525851055975,0.9329715624577771,0.828535490592465
MIX34,1.0,LLLL (15),0.9907170268786974,0.9815764812445786,0.9625804001279075,0.93102584237905,0.8315169378825611
MIX35,1.0,LLLL (15),0.994225628418339,0.987662476620809,0.9746545613794628,0.9504204470580662,0.8838772629199996
MIX36,1.0,LLLL (15),0.9968230654103488,0.9924811902478496,0.9842926914024173,0.9674920886764579,0.9156977688051953
MIX37,1.0,LLLL (15),0.9941398829402758,0.9872446081262862,0.9736259512486758,0.945215378322736,0.8522891575501857
MIX38,1.0,LLLL (15),0.9887406437301256,0.9769342088397431,0.9542059531668863,0.911908557223615,0.7918395563643511
MIX39,1.0,LLLL (15),0.9935208727441656,0.9864181537908673,0.9704862029112722,0.9384867834995249,0.8505008008262407
MIX4,1.0,HHHH (15),0.980623475448999,0.9589220421068746,0.907390182256407,0.8231771569124972,0.6233331168688838
MIX40,1.0,LLLL (15),0.988501463907447,0.9757274118349992,0.9486889237416184,0.9041656547003244,0.7699039405258137
MIX41,1.0,LLLL (15),0.9983675289583296,0.9911203687978984,0.9732238738334472,0.944651421759832,0.8646057009803856
MIX42,1.0,LLLL (15),0.991564344287908,0.9823903103890351,0.9639164950363133,0.9272216568988841,0.8275518467974551
MIX43,1.0,LLLL (15),0.9976825979346856,0.9957284660531405,0.9914195869561483,0.9818218558429267,0.9527120020289335
MIX44,1.0,LLLL (15),0.992386340375791,0.9844857561340065,0.9698270717039621,0.9210096605130966,0.8219986807043896
MIX45,1.0,HHMM (15),0.9765074379813156,0.9503223988910722,0.9026151393916445,0.8079679251920855,0.6017399088698924
MIX46,1.0,HHMM (15),0.9773459693492741,0.9601753988495881,0.9332797914215125,0.8703229834190224,0.700971192216693
MIX47,1.0,HHMM (15),0.9766700349571529,0.9497838418905251,0.9080721511252182,0.8121020463160539,0.605584833358908
MIX48,1.0,HHMM (15),0.9771665931317607,0.9530390249290187,0.9082713905205186,0.8210006937115154,0.6237367088454591
MIX49,1.0,HHMM (15),0.9758484197615322,0.9509845039262376,0.9012667935733314,0.8040357330954894,0.5963195607499632
MIX5,1.0,HHHH (15),0.9829201234304488,0.9583139386300322,0.9183593068218595,0.8373841671669994,0.6564314397302975
MIX50,1.0,HHMM (15),0.9736699925796582,0.956320058691998,0.9174497662719527,0.8331622890541837,0.6484955808212961
MIX51,1.0,HHMM (15),0.9751908682449317,0.9514972986005334,0.9030835277610583,0.8053278121656839,0.6020171010314197
MIX52,1.0,HHMM (15),0.9750797066743675,0.9536211983095143,0.9047444302480662,0.8157616648735162,0.6120889573197643
MIX53,1.0,HHMM (15),0.9768117255440468,0.9635463844985549,0.9149266183298197,0.83769283638084,0.6498487136472191
MIX54,1.0,HHMM (15),0.9782450585766771,0.9561214688020148,0.9117565859902113,0.8246675203725538,0.6244973153229988
MIX55,1.0,HHMM (15),0.971895799207565,0.9523433115624435,0.8995227750506111,0.8105458831384981,0.6080893097829704
MIX56,1.0,HHMM (15),0.9799781534226649,0.9586640679713829,0.9170074047771735,0.8315544060157283,0.6464917375993732
MIX57,1.0,HHMM (15),0.976161629163612,0.9505906511600029,0.9024483299610414,0.8063802508247122,0.6000979544216328
MIX58,1.0,HHMM (15),0.9752943271469783,0.9506459613604429,0.9006331093110921,0.8027152628622776,0.5946772187178601
MIX59,1.0,HHMM (15),0.9767530355505305,0.9542635928775661,0.9095488831300128,0.8235271047964954,0.6258764375802649
MIX6,1.0,HHHH (15),0.973608050796346,0.9510022678618765,0.9014160125082065,0.8043950380420147,0.6000317268729161
MIX60,1.0,HHLL (15),0.9810810960191111,0.9686757195501794,0.9366235049568934,0.8772663613451145,0.7329799679929597
MIX61,1.0,HHLL (15),0.9848730534435985,0.9708934858786601,0.9406694232963372,0.8809504648104232,0.740685596272093
MIX62,1.0,HHLL (15),0.9826869434878809,0.9652746117211773,0.9309333736172944,0.8625121273769037,0.6961889994945422
MIX63,1.0,HHLL (15),0.9886881956916913,0.9737040165406632,0.9458524619510688,0.8973466360756054,0.7785073135710454
MIX64,1.0,HHLL (15),0.9828346207483345,0.9755443391592801,0.9435749448857325,0.893106364879956,0.755536786827458
MIX65,1.0,HHLL (15),0.9845600456813755,0.9699126310464478,0.9373091474961502,0.8758078949024601,0.7338784850587383
MIX66,1.0,HHLL (15),0.9791917320882954,0.966905706588012,0.9330416502696556,0.8671763031448431,0.7127287644667433
MIX67,1.0,HHLL (15),0.9829584989380721,0.9620817971474397,0.9220999250877114,0.859219991975163,0.6762767803556817
