workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX0,1.0,3200.0,0.9735989317136919,HHHH (15)
MIX0,1.0,4800.0,0.9323499776357822,HHHH (15)
MIX0,1.0,6400.0,0.8864445092886298,HHHH (15)
MIX0,1.0,8000.0,0.8655569442907661,HHHH (15)
MIX0,1.0,8800.0,0.8584968139149404,HHHH (15)
MIX0,1.0,12800.0,0.8489305085469041,HHHH (15)
MIX0,1.0,17600.0,0.8440923325759998,HHHH (15)
MIX1,1.0,3200.0,0.9871484255493452,HHHH (15)
MIX1,1.0,4800.0,0.968595962866326,HHHH (15)
MIX1,1.0,6400.0,0.9066767957032147,HHHH (15)
MIX1,1.0,8000.0,0.8728946414479624,HHHH (15)
MIX1,1.0,8800.0,,HHHH (15)
MIX1,1.0,12800.0,0.8294944102727038,HHHH (15)
MIX1,1.0,17600.0,0.8211538897801431,HHHH (15)
MIX10,1.0,3200.0,0.9737475235630317,HHHH (15)
MIX10,1.0,4800.0,0.9319750940580261,HHHH (15)
MIX10,1.0,6400.0,0.8849681496858727,HHHH (15)
MIX10,1.0,8000.0,0.8616843480712428,HHHH (15)
MIX10,1.0,8800.0,0.8548160262709218,HHHH (15)
MIX10,1.0,12800.0,0.845443990258912,HHHH (15)
MIX10,1.0,17600.0,0.8425673277857699,HHHH (15)
MIX11,1.0,3200.0,0.9787726652692034,HHHH (15)
MIX11,1.0,4800.0,0.95984717086218,HHHH (15)
MIX11,1.0,6400.0,0.9243983486362161,HHHH (15)
MIX11,1.0,8000.0,0.8910661622977465,HHHH (15)
MIX11,1.0,8800.0,0.8667963480645893,HHHH (15)
MIX11,1.0,12800.0,0.8372875893588853,HHHH (15)
MIX11,1.0,17600.0,0.8274417810303137,HHHH (15)
MIX12,1.0,3200.0,0.9372571396005233,HHHH (15)
MIX12,1.0,4800.0,0.8856275923304866,HHHH (15)
MIX12,1.0,6400.0,0.8708601118842666,HHHH (15)
MIX12,1.0,8000.0,0.8546832898944929,HHHH (15)
MIX12,1.0,8800.0,0.849302487215499,HHHH (15)
MIX12,1.0,12800.0,0.8463393686917786,HHHH (15)
MIX12,1.0,17600.0,0.8395692112317602,HHHH (15)
MIX13,1.0,3200.0,0.9710395711049854,HHHH (15)
MIX13,1.0,4800.0,0.9288772962501469,HHHH (15)
MIX13,1.0,6400.0,0.8789212147479567,HHHH (15)
MIX13,1.0,8000.0,0.8562439250992065,HHHH (15)
MIX13,1.0,8800.0,0.8498641748114866,HHHH (15)
MIX13,1.0,12800.0,0.8425167927259818,HHHH (15)
MIX13,1.0,17600.0,0.8369143558031841,HHHH (15)
MIX14,1.0,3200.0,0.9726476780330657,HHHH (15)
