workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
401.bzip2,1.0,0.9690130430902302,1.0,1.0,1.0
401.bzip2,2.0,0.9963567622283657,1.0,1.0,1.0
401.bzip2,3.0,0.991076304958653,1.0,1.0,1.0
401.bzip2,4.0,0.9984686407400385,1.0,1.0,1.0
401.bzip2,5.0,0.9977724036320809,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0,1.0
403.gcc,3.0,1.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0,1.0
403.gcc,5.0,1.0,1.0,1.0,1.0
433.milc,1.0,0.8697273142036906,1.0,1.0,1.0
433.milc,2.0,0.9972596692998283,1.0,1.0,1.0
433.milc,3.0,0.9972310402478706,1.0,1.0,1.0
433.milc,4.0,0.9974481603791622,1.0,1.0,1.0
433.milc,5.0,0.9975491949239326,1.0,1.0,1.0
434.zeusmp,1.0,0.8144081552124867,0.8947906091392801,0.9078512584915498,1.0
434.zeusmp,2.0,0.8982155191078308,0.9061606606814314,0.9981490219398274,1.0
434.zeusmp,3.0,0.8853851017614118,0.9811058462121668,0.998877452556982,1.0
434.zeusmp,4.0,0.9628189057324735,0.9820689494918675,0.9997550703190915,1.0
434.zeusmp,5.0,0.9633839208730839,0.9826939218677255,0.9984268882965144,
435.gromacs,1.0,0.9985552402472109,1.0,1.0,1.0
435.gromacs,2.0,0.9999805460715557,1.0,1.0,1.0
435.gromacs,3.0,0.999632959250147,1.0,1.0,1.0
435.gromacs,4.0,0.9997548121302907,1.0,1.0,1.0
435.gromacs,5.0,0.9998460125771343,1.0,1.0,1.0
436.cactusADM,1.0,0.8465194357581534,1.000001341698765,1.0,1.0
436.cactusADM,2.0,0.9754564390805637,1.0,1.0,1.0
436.cactusADM,3.0,0.9862790921565563,1.0,1.0,1.0
436.cactusADM,4.0,0.9874450948142348,1.0,1.0,1.0
436.cactusADM,5.0,0.9870592014931655,1.0,1.0,1.0
437.leslie3d,1.0,0.8125313499507617,0.9808241334239628,1.0001088033418908,1.0
437.leslie3d,2.0,0.9635640177522974,0.9969172669839104,1.0,1.0
437.leslie3d,3.0,0.9782203595409427,0.997795123865213,1.0,1.0
437.leslie3d,4.0,0.9784959803240506,0.9980835461963352,1.0,1.0
437.leslie3d,5.0,0.9792287063126689,0.9994314048869269,1.0,1.0
444.namd,1.0,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0,1.0
444.namd,3.0,1.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0,1.0
444.namd,5.0,1.0,1.0,1.0,1.0
445.gobmk,1.0,0.9998717283790741,1.0,1.0,1.0
445.gobmk,2.0,0.9999790717095421,1.0,1.0,1.0
445.gobmk,3.0,0.9999790717095421,1.0,1.0,1.0
