workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive
401.bzip2,32.0,0.90235618315688,0.9977724036320809,1.0
403.gcc,32.0,1.0,1.0,1.0
429.mcf,32.0,,,
433.milc,32.0,0.9485151160825218,0.9975491949239326,1.0
434.zeusmp,32.0,0.736758682842375,0.9633839208730839,1.0
435.gromacs,32.0,0.984963834738802,0.9998460125771343,1.0
436.cactusADM,32.0,0.7585188908229321,0.9870592014931655,1.0
437.leslie3d,32.0,0.7588170120045957,0.9792287063126689,1.0
444.namd,32.0,1.0,1.0,1.0
445.gobmk,32.0,0.9992415827228064,0.9999790717095421,1.0
447.dealII,32.0,1.0,1.0,1.0
450.soplex,32.0,0.6042476841439984,0.9592364390652622,1.0
456.hmmer,32.0,0.8337385109850866,0.9930123662157879,1.0
458.sjeng,32.0,1.0000648239886705,1.0,1.0
459.GemsFDTD,32.0,0.9108271411448785,0.994711418004701,1.0
462.libquantum,32.0,0.6998219260322135,0.9755803002018927,1.0
464.h264ref,32.0,0.9940296110412653,0.999878683693299,1.0
470.lbm,32.0,0.6899303679528647,0.9675088687002454,1.0
471.omnetpp,32.0,0.6640242789380166,0.9421229072559015,1.0
473.astar,32.0,0.989560829739067,0.9995134599219557,1.0
481.wrf,32.0,1.0,1.0,1.0
482.sphinx3,32.0,0.5549975813029742,0.9728039475297717,1.0
483.xalancbmk,32.0,0.6014746095250972,0.9576625530256256,1.0
500.perlbench,32.0,0.9707693928772237,0.9995928510585186,1.0
502.gcc,32.0,0.9529270676563191,0.9972795838527516,1.0
505.mcf,32.0,0.7652692551410095,0.9766080528568449,1.0
507.cactuBSSN,32.0,0.7865796608398908,0.9913964057353412,1.0
508.namd,32.0,0.9993436239198097,0.9998415470817112,1.0
510.parest,32.0,0.5409909278813408,0.9674968984813772,1.0
511.povray,32.0,1.0,1.0,1.0
519.lbm,32.0,0.6890772982630186,0.9690256398611807,1.0
520.omnetpp,32.0,0.7057019108166457,0.9862846207611479,1.0
523.xalancbmk,32.0,0.8599775677541557,0.9942858088310164,1.0
525.x264,32.0,1.0,1.0,1.0
526.blender,32.0,1.0001037497023333,1.0,1.0
531.deepsjeng,32.0,1.0,1.0,1.0
538.imagick,32.0,1.0,1.0,1.0
541.leela,32.0,1.0,1.0,1.0
544.nab,32.0,0.9998722288098484,0.9998722288098484,1.0
549.fotonik3d,32.0,0.9117658386206051,0.9958341396155429,1.0
557.xz,32.0,0.8307263669983325,0.9961215536932202,1.0
grep_map0,32.0,0.9962729696022375,0.9987461286044989,1.0
h264_encode,32.0,1.0,1.0,1.0
jp2_decode,32.0,0.686978800420173,0.9786125792085985,1.0
jp2_encode,32.0,0.7900769434484224,0.9797332445876273,1.0
tpcc64,32.0,0.8309413928552878,0.9987074087882299,1.0
tpch17,32.0,0.9040238973557752,0.999229043005397,1.0
tpch2,32.0,0.8474739015302021,0.9937125746194349,1.0
tpch6,32.0,0.981820235904375,0.9985606179812866,1.0
wc_8443,32.0,0.9879510827993726,0.9993935011580488,1.0
wc_map0,32.0,0.987731223936447,0.9996978603203688,1.0
ycsb_abgsave,32.0,0.8791451684958063,0.9946048849491007,1.0
ycsb_aserver,32.0,0.9692615847484689,0.9973868538185259,1.0
ycsb_bserver,32.0,0.9818784890889454,0.9971512581241672,1.0
ycsb_cserver,32.0,0.9878533578091029,0.9989932667071729,1.0
ycsb_dserver,32.0,0.9857620434050024,1.0003463686324048,1.0
ycsb_eserver,32.0,0.9558666134737263,0.9994521069486113,1.0
SPEC2K6 (23),32.0,0.838198456513774,0.9862294586155874,1.0
SPEC2K17 (18),32.0,0.8776006414890125,0.9929231044557361,1.0
TPC (4),32.0,0.8891543429073663,0.9975499126081109,1.0
Hadoop (3),32.0,0.990643795662271,0.9992790845445856,1.0
MediaBench (3),32.0,0.815713358312329,0.9860665189370407,1.0
YCSB (6),32.0,0.9591875522567104,0.9979873497951331,1.0
All (57),32.0,0.8745041200273075,0.9912589435978443,1.0
