workload,NBO,QPRAC-NoOp,QPRAC,QPRAC+Proactive
401.bzip2,32.0,1.5964434612439378,0.05699481865284974,0.0
403.gcc,32.0,0.0,0.0,0.0
429.mcf,32.0,,,
433.milc,32.0,0.48050326702012097,0.023193546736702084,0.0
434.zeusmp,32.0,2.262767968635549,0.3163651623379585,0.0
435.gromacs,32.0,0.17581197372073656,0.006291670579397127,0.0
436.cactusADM,32.0,2.5073473059878046,0.13274950143067718,0.0
437.leslie3d,32.0,2.166664062377924,0.18525310333709497,0.0
444.namd,32.0,0.0,0.0,0.0
445.gobmk,32.0,0.013381369016984045,0.000721129082105697,0.0
447.dealII,32.0,0.0,0.0,0.0
450.soplex,32.0,3.700024781545291,0.33842286723619625,0.0
456.hmmer,32.0,2.6716988865359657,0.10084521047398078,0.0
458.sjeng,32.0,0.00020781379883624273,0.00010390689941812137,0.0
459.GemsFDTD,32.0,0.7816010449710767,0.045410667428043124,0.0
462.libquantum,32.0,2.516011727253281,0.2043662293412017,0.0
464.h264ref,32.0,0.28519130845536134,0.012598050867601617,0.0
470.lbm,32.0,2.6560785084818477,0.2796958263968478,0.0
471.omnetpp,32.0,3.3258420524580767,0.44587111788781,0.0
473.astar,32.0,0.1094994477065287,0.004404510218463707,0.0
481.wrf,32.0,0.0,0.0,0.0
482.sphinx3,32.0,4.093588187391485,0.2626687141356179,0.0
483.xalancbmk,32.0,3.798164966177075,0.419578340123108,0.0
500.perlbench,32.0,0.39675863615971285,0.008947641863418577,0.0
502.gcc,32.0,0.6850558659217877,0.02182648401826484,0.0
505.mcf,32.0,2.336962068378976,0.09044464649088627,0.0
507.cactuBSSN,32.0,2.53170707019586,0.10570298545547334,0.0
508.namd,32.0,0.010306122448979592,0.000612119975515201,0.0
510.parest,32.0,4.031786673327921,0.2865475858219369,0.0
511.povray,32.0,0.0,0.0,0.0
519.lbm,32.0,2.666883319295127,0.27059843885516044,0.0
520.omnetpp,32.0,2.8055733094720696,0.13606448650579053,0.0
523.xalancbmk,32.0,1.879818449146583,0.06650373990964971,0.0
525.x264,32.0,0.0,0.0,0.0
526.blender,32.0,0.0017649135192375574,0.00011766090128250382,0.0
531.deepsjeng,32.0,0.0,0.0,0.0
538.imagick,32.0,0.0,0.0,0.0
541.leela,32.0,0.0,0.0,0.0
544.nab,32.0,0.00010208248264597796,0.00010208248264597796,0.0
549.fotonik3d,32.0,0.780942273994916,0.03688386566621314,0.0
557.xz,32.0,1.9581114660986865,0.06120211923756166,0.0
grep_map0,32.0,0.05136927316569066,0.001854247520482967,0.0
h264_encode,32.0,0.0,0.0,0.0
jp2_decode,32.0,2.7422589443285736,0.18056454992190774,0.0
jp2_encode,32.0,1.9052465044682942,0.18314184359612432,0.0
tpcc64,32.0,1.9937901273550152,0.06479959539764825,0.0
tpch17,32.0,0.945162181237917,0.028368794326241134,0.0
tpch2,32.0,1.437070938215103,0.045029136500088295,0.0
tpch6,32.0,0.23221634332745444,0.00880041011619959,0.0
wc_8443,32.0,0.12426504188880426,0.004289461502854498,0.0
wc_map0,32.0,0.1280889242735095,0.003999627941586829,0.0
ycsb_abgsave,32.0,1.458414554905783,0.07073529411764706,0.0
ycsb_aserver,32.0,0.36200115370496616,0.028269313767803193,0.0
ycsb_bserver,32.0,0.20846162618314518,0.014776612389175407,0.0
ycsb_cserver,32.0,0.15076479076479077,0.011034563288183093,0.0
ycsb_dserver,32.0,0.21992916496390139,0.01084778553167968,0.0
ycsb_eserver,32.0,0.5271986708826839,0.014288916283761067,0.0
SPEC2K6 (23),32.0,1.506401278762631,0.1288879260529579,0.0
SPEC2K17 (18),32.0,1.1158762361356946,0.06030854762132217,0.0
TPC (4),32.0,1.1520598975338725,0.03674948408504432,0.0
Hadoop (3),32.0,0.10124107977600148,0.003381112321641431,0.0
MediaBench (3),32.0,1.5491684829322894,0.12123546450601068,0.0
YCSB (6),32.0,0.487794993567545,0.024992080896374915,0.0
All (57),32.0,1.1552480740579685,0.0801200483553808,0.0
