workload,PRAC_level,QPRAC,QPRAC+Proactive
401.bzip2,1.0,0.9977724036320809,1.0
401.bzip2,2.0,0.9978757204539802,1.0
401.bzip2,4.0,0.9955952490130788,1.0
403.gcc,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0
403.gcc,4.0,1.0,1.0
433.milc,1.0,0.9975491949239326,1.0
433.milc,2.0,0.9974146526824684,1.0
433.milc,4.0,0.996839561775352,1.0
434.zeusmp,1.0,0.9633839208730839,1.0
434.zeusmp,2.0,0.961432900242892,1.0
434.zeusmp,4.0,0.9514545410419794,1.0
435.gromacs,1.0,0.9998460125771343,1.0
435.gromacs,2.0,0.999577942911089,1.0
435.gromacs,4.0,0.9999168042876302,1.0
436.cactusADM,1.0,0.9870592014931655,1.0
436.cactusADM,2.0,0.9861013151298925,1.0
436.cactusADM,4.0,0.9794461616487912,1.0
437.leslie3d,1.0,0.9792287063126689,1.0
437.leslie3d,2.0,0.9773485793297109,1.0
437.leslie3d,4.0,0.9727708237494797,1.0
444.namd,1.0,1.0,1.0
444.namd,2.0,1.0,1.0
444.namd,4.0,1.0,1.0
445.gobmk,1.0,0.9999790717095421,1.0
445.gobmk,2.0,0.9995669792027385,1.0
445.gobmk,4.0,0.9993850733021089,1.0
447.dealII,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0
447.dealII,4.0,1.0,1.0
450.soplex,1.0,0.9592364390652622,1.0
450.soplex,2.0,0.9557879062517294,1.0
450.soplex,4.0,0.9365215392588583,1.0
456.hmmer,1.0,0.9930123662157879,1.0
456.hmmer,2.0,0.9912276332728813,1.0
456.hmmer,4.0,0.9883607444151207,1.0
458.sjeng,1.0,1.0,1.0
458.sjeng,2.0,1.0000967233298983,1.0
458.sjeng,4.0,1.0001229935181895,1.0
459.GemsFDTD,1.0,0.994711418004701,1.0
459.GemsFDTD,2.0,0.9936188349338847,1.0
459.GemsFDTD,4.0,0.9914450947517859,1.0
462.libquantum,1.0,0.9755803002018927,1.0
462.libquantum,2.0,0.975358908798369,1.0
462.libquantum,4.0,0.9701606588285089,1.0
464.h264ref,1.0,0.999878683693299,1.0
464.h264ref,2.0,0.9995173790026003,1.0
464.h264ref,4.0,0.9993364214433457,1.0
470.lbm,1.0,0.9675088687002454,1.0
