workload,Channel,interface,Baseline,Baseline-ClosedCap4
401.bzip2,1.0,3200.0,3.2831453979934544,3.2784448214495687
401.bzip2,1.0,6400.0,3.3691519532601055,3.364250320354006
401.bzip2,1.0,8800.0,3.3929349607894115,3.3871895543410373
401.bzip2,1.0,12800.0,3.4032062136446544,3.3973201110178977
401.bzip2,1.0,17600.0,3.4160123528471558,3.41182775043793
401.bzip2,2.0,8800.0,3.4790093070178103,3.4751597183396967
401.bzip2,4.0,8800.0,3.5185137896360135,3.515843756016927
401.bzip2,8.0,8800.0,3.544370664667604,3.544743359731557
401.bzip2,16.0,8800.0,3.5701368918287013,3.5685655581995532
403.gcc,1.0,3200.0,3.782310182249027,3.782310182249027
403.gcc,1.0,6400.0,3.8070168207936153,3.8070168207936153
403.gcc,1.0,8800.0,3.8116625086638134,3.8116625086638134
403.gcc,1.0,12800.0,3.8190623439698217,3.8190623439698217
403.gcc,1.0,17600.0,3.83051627974009,3.83051627974009
403.gcc,2.0,8800.0,3.822731748868116,3.822731748868116
403.gcc,4.0,8800.0,3.833125841121964,3.833125841121964
403.gcc,8.0,8800.0,3.838116402931139,3.838116402931139
403.gcc,16.0,8800.0,3.841470960688499,3.841470960688499
429.mcf,1.0,3200.0,0.5084191966328593,0.5019955991612224
429.mcf,1.0,6400.0,0.7008038431723947,0.6873365813460143
429.mcf,1.0,8800.0,0.7374617487256112,0.7214665304418575
429.mcf,1.0,12800.0,0.7528842608296992,0.7361459283392533
429.mcf,1.0,17600.0,0.7679410406078145,0.7510365269153368
429.mcf,2.0,8800.0,0.8257934223614946,0.8170074986925389
429.mcf,4.0,8800.0,0.8901186879451866,0.8862753943137163
429.mcf,8.0,8800.0,0.9498740648421004,0.9493735631670264
429.mcf,16.0,8800.0,0.9997082171620734,0.9997082171620734
433.milc,1.0,3200.0,1.0652257765300395,1.0223670705972143
433.milc,1.0,6400.0,1.245567580530627,1.1876090859020663
433.milc,1.0,8800.0,1.3026943251389222,1.237007801155015
433.milc,1.0,12800.0,1.3263103371096492,1.2563751155340563
433.milc,1.0,17600.0,1.3522827204268353,1.2807600012383413
433.milc,2.0,8800.0,1.4324801762221058,1.3865482420257211
433.milc,4.0,8800.0,1.5300514714820104,1.5064559046891628
433.milc,8.0,8800.0,1.6021595861493625,1.593500332061566
433.milc,16.0,8800.0,1.6772836012395247,1.6726987002963856
434.zeusmp,1.0,3200.0,0.7041161211513908,0.640442716734374
434.zeusmp,1.0,6400.0,0.8781878297063977,0.7683266318886077
434.zeusmp,1.0,8800.0,0.9181558893428025,0.8009534444019099
434.zeusmp,1.0,12800.0,0.9360554766229899,0.8160480373006808
434.zeusmp,1.0,17600.0,0.9555151241436391,0.833082792848798
434.zeusmp,2.0,8800.0,1.1873006071114405,1.025007604428871
434.zeusmp,4.0,8800.0,1.4103652150864487,1.2511807624252602
434.zeusmp,8.0,8800.0,1.5943309329363253,1.4151588606664764
434.zeusmp,16.0,8800.0,1.7664668261576584,1.5857600435903867
435.gromacs,1.0,3200.0,3.241798956971933,3.231045623359364
435.gromacs,1.0,6400.0,3.2715011973530808,3.2608648511410303
435.gromacs,1.0,8800.0,3.308521648705949,3.298091554045305
435.gromacs,1.0,12800.0,3.2882605540323127,3.2771804843246723
