workload,Channel,interface,Baseline
401.bzip2,1.0,8000.0,3.400546422919672
403.gcc,1.0,8000.0,3.824874876294941
429.mcf,1.0,8000.0,0.7381201517592747
433.milc,1.0,8000.0,1.3118818103014873
434.zeusmp,1.0,8000.0,0.9169720759831596
435.gromacs,1.0,8000.0,3.2921867493196926
436.cactusADM,1.0,8000.0,2.202055158689188
437.leslie3d,1.0,8000.0,1.523908244326806
444.namd,1.0,8000.0,3.963701932058138
445.gobmk,1.0,8000.0,3.5181150558718888
447.dealII,1.0,8000.0,3.95339115526304
450.soplex,1.0,8000.0,1.3010594183321416
456.hmmer,1.0,8000.0,3.1628661761655854
458.sjeng,1.0,8000.0,3.53680065470424
459.GemsFDTD,1.0,8000.0,1.1573515919836403
462.libquantum,1.0,8000.0,1.7103906904502375
464.h264ref,1.0,8000.0,3.838436020952241
470.lbm,1.0,8000.0,0.8130749654513472
471.omnetpp,1.0,8000.0,2.2538916064134953
473.astar,1.0,8000.0,1.7791443349804545
481.wrf,1.0,8000.0,3.97056520765099
482.sphinx3,1.0,8000.0,1.7208633891015368
483.xalancbmk,1.0,8000.0,1.7381185026458144
500.perlbench,1.0,8000.0,2.466566702309706
502.gcc,1.0,8000.0,3.3434659140605154
505.mcf,1.0,8000.0,2.5905153575386803
507.cactuBSSN,1.0,8000.0,2.537721244183613
508.namd,1.0,8000.0,3.473782043563575
510.parest,1.0,8000.0,1.9758003772695973
511.povray,1.0,8000.0,3.8676394914456322
519.lbm,1.0,8000.0,0.8693866652531135
520.omnetpp,1.0,8000.0,1.6977238890941229
523.xalancbmk,1.0,8000.0,2.9186945902614534
525.x264,1.0,8000.0,3.6842219474038265
526.blender,1.0,8000.0,3.843579579765918
531.deepsjeng,1.0,8000.0,3.4922858792752676
538.imagick,1.0,8000.0,3.9738661238683473
541.leela,1.0,8000.0,3.9497739090181434
544.nab,1.0,8000.0,3.4331495472252516
549.fotonik3d,1.0,8000.0,1.1124408462639213
557.xz,1.0,8000.0,2.7243048458098222
grep_map0,1.0,8000.0,2.824031943596717
h264_encode,1.0,8000.0,3.977633274957853
jp2_decode,1.0,8000.0,2.267135562595334
jp2_encode,1.0,8000.0,2.776072919840123
tpcc64,1.0,8000.0,2.7931312066063674
tpch17,1.0,8000.0,2.0347899844023583
tpch2,1.0,8000.0,1.9872434392211094
tpch6,1.0,8000.0,3.272939352650173
wc_8443,1.0,8000.0,2.1468377234905303
wc_map0,1.0,8000.0,2.1561947146285787
ycsb_abgsave,1.0,8000.0,2.858485670800144
ycsb_aserver,1.0,8000.0,2.402945329480976
ycsb_bserver,1.0,8000.0,2.532395830606787
ycsb_cserver,1.0,8000.0,2.54257673645316
ycsb_dserver,1.0,8000.0,2.7985400542749974
ycsb_eserver,1.0,8000.0,2.445039621964796
