workload,Channel,interface,Baseline
401.bzip2,1.0,8000.0,3.3111095173637395
403.gcc,1.0,8000.0,3.8082983796284555
429.mcf,1.0,8000.0,0.597880896062992
433.milc,1.0,8000.0,1.1002661682478558
434.zeusmp,1.0,8000.0,0.772101703366758
435.gromacs,1.0,8000.0,3.2497823182060883
436.cactusADM,1.0,8000.0,1.9740889885356363
437.leslie3d,1.0,8000.0,1.3722617816474791
444.namd,1.0,8000.0,3.9627221577320015
445.gobmk,1.0,8000.0,3.46886489097323
447.dealII,1.0,8000.0,3.9495054077852068
450.soplex,1.0,8000.0,1.1641168290229746
456.hmmer,1.0,8000.0,3.037315479895784
458.sjeng,1.0,8000.0,3.4931980901177058
459.GemsFDTD,1.0,8000.0,0.9657398029769891
462.libquantum,1.0,8000.0,1.67369825348885
464.h264ref,1.0,8000.0,3.826116649848588
470.lbm,1.0,8000.0,0.7036099400180409
471.omnetpp,1.0,8000.0,1.9725817879351817
473.astar,1.0,8000.0,1.5455903702499127
481.wrf,1.0,8000.0,3.968411657688559
482.sphinx3,1.0,8000.0,1.5180306949692681
483.xalancbmk,1.0,8000.0,1.4547066241369415
500.perlbench,1.0,8000.0,2.342429107308752
502.gcc,1.0,8000.0,3.2782354037765495
505.mcf,1.0,8000.0,2.372316482448305
507.cactuBSSN,1.0,8000.0,2.444683950673397
508.namd,1.0,8000.0,3.4386832371400677
510.parest,1.0,8000.0,1.7968385940287144
511.povray,1.0,8000.0,3.867174214202191
519.lbm,1.0,8000.0,0.7550728002985908
520.omnetpp,1.0,8000.0,1.4717186942770513
523.xalancbmk,1.0,8000.0,2.823654731541196
525.x264,1.0,8000.0,3.653638185107851
526.blender,1.0,8000.0,3.82209620618197
531.deepsjeng,1.0,8000.0,3.460233991125427
538.imagick,1.0,8000.0,3.9732461787483824
541.leela,1.0,8000.0,3.949202100842812
544.nab,1.0,8000.0,3.3865991647914955
549.fotonik3d,1.0,8000.0,0.9235181448107445
557.xz,1.0,8000.0,2.5393248065379854
grep_map0,1.0,8000.0,2.7560115847072644
h264_encode,1.0,8000.0,3.9746824020102673
jp2_decode,1.0,8000.0,2.1642603619234593
jp2_encode,1.0,8000.0,2.6644197774593477
tpcc64,1.0,8000.0,2.6500715283454856
tpch17,1.0,8000.0,1.906333217521049
tpch2,1.0,8000.0,1.8381238037995768
tpch6,1.0,8000.0,3.1928496910652937
wc_8443,1.0,8000.0,2.0099901818411587
wc_map0,1.0,8000.0,2.019173485822715
ycsb_abgsave,1.0,8000.0,2.7553038013664466
ycsb_aserver,1.0,8000.0,2.2193633404748896
ycsb_bserver,1.0,8000.0,2.3776701592485483
ycsb_cserver,1.0,8000.0,2.394479828470959
ycsb_dserver,1.0,8000.0,2.663225979351679
ycsb_eserver,1.0,8000.0,2.2824768088830636
