workload,Channel,interface,Baseline,Baseline-ClosedCap4
401.bzip2,1.0,3200.0,3.2919582227855364,3.2949983756976104
401.bzip2,1.0,4800.0,3.347153482289428,3.349531531508236
401.bzip2,1.0,6400.0,3.3818441719668564,3.3829135599962084
401.bzip2,1.0,8000.0,3.39898964217735,3.400546422919672
401.bzip2,1.0,8800.0,3.401019028279623,3.4032325508900163
401.bzip2,1.0,12800.0,3.4118904709741504,3.41261609216515
401.bzip2,1.0,17600.0,3.4264911030405214,3.4275920431165847
401.bzip2,2.0,8000.0,3.48502190566266,3.4865338349349098
401.bzip2,2.0,8800.0,3.4885404238596127,3.489291079619034
401.bzip2,4.0,8000.0,3.524779769117762,3.525173681076016
401.bzip2,4.0,8800.0,3.5265530541056602,3.5281757787403647
401.bzip2,8.0,8000.0,3.5500923602673184,3.5512689269759323
401.bzip2,8.0,8800.0,3.551351559518141,3.552510636341119
401.bzip2,16.0,8000.0,3.5738636448515626,3.5742610159992716
401.bzip2,16.0,8800.0,3.5760417377851965,3.576436088754869
403.gcc,1.0,3200.0,3.79373290653029,3.79373290653029
403.gcc,1.0,4800.0,3.808291534160337,3.808291534160337
403.gcc,1.0,6400.0,3.818343660412828,3.818343660412828
403.gcc,1.0,8000.0,3.824874876294941,3.824874876294941
403.gcc,1.0,8800.0,3.8276897047219887,3.8276897047219887
403.gcc,1.0,12800.0,3.8329995378475816,3.8329995378475816
403.gcc,1.0,17600.0,3.839987786381296,3.839987786381296
403.gcc,2.0,8000.0,3.832693589064957,3.832693589064957
403.gcc,2.0,8800.0,3.8349383265989005,3.8349383265989005
403.gcc,4.0,8000.0,3.8381853164295148,3.8381853164295148
403.gcc,4.0,8800.0,3.8390939744399115,3.8390939744399115
403.gcc,8.0,8000.0,3.843838037824627,3.843838037824627
403.gcc,8.0,8800.0,3.8422779860902927,3.8422779860902927
403.gcc,16.0,8000.0,3.845677293375413,3.845677293375413
403.gcc,16.0,8800.0,3.8437473800057025,3.8437473800057025
429.mcf,1.0,3200.0,0.5109903768943593,0.5112395995281896
429.mcf,1.0,4800.0,0.65615231056766,0.6570560618392991
429.mcf,1.0,6400.0,0.7058843134725732,0.7084841742191718
429.mcf,1.0,8000.0,0.7350988235102058,0.7381201517592747
429.mcf,1.0,8800.0,0.7430202630631143,0.7461195296946567
429.mcf,1.0,12800.0,0.7585983377905765,0.7617978072338784
429.mcf,1.0,17600.0,0.7738067576346049,0.7769988390316447
429.mcf,2.0,8000.0,0.8285571076009963,0.8319032569719628
429.mcf,2.0,8800.0,0.832591061749962,0.8359449848423781
429.mcf,4.0,8000.0,0.894480860420031,0.8968265982740963
429.mcf,4.0,8800.0,0.8971578178492838,0.8995235277844738
429.mcf,8.0,8000.0,0.9551025636979434,0.9571016365255007
429.mcf,8.0,8800.0,0.9570588408848294,0.9589666257003159
429.mcf,16.0,8000.0,1.0056215653372544,1.0067553566321517
429.mcf,16.0,8800.0,1.0070769817197904,1.008204032460032
433.milc,1.0,3200.0,1.076506713774026,1.0777338907775338
433.milc,1.0,4800.0,1.1890529041238898,1.1913037452750155
433.milc,1.0,6400.0,1.26065486067767,1.2655771614999767
433.milc,1.0,8000.0,1.3069216091877884,1.3118818103014873
433.milc,1.0,8800.0,1.3184738179395776,1.3232616300822189
433.milc,1.0,12800.0,1.3414910377667286,1.3453147322765178
433.milc,1.0,17600.0,1.3675562692169176,1.3718432833350145
433.milc,2.0,8000.0,1.442611280472873,1.4493104359252424
433.milc,2.0,8800.0,1.448843107623447,1.4556712699048415
433.milc,4.0,8000.0,1.5377856790572415,1.5424342032586094
433.milc,4.0,8800.0,1.5425197605572505,1.5475247956956228
433.milc,8.0,8000.0,1.6101490483090088,1.6145159586070787
433.milc,8.0,8800.0,1.6138246460625973,1.6181727995458552
433.milc,16.0,8000.0,1.6855495444364121,1.6883824651729245
433.milc,16.0,8800.0,1.6889363314105987,1.6918438155436153
434.zeusmp,1.0,3200.0,0.7098554041016274,0.7099475909166085
434.zeusmp,1.0,4800.0,0.8297023685541582,0.8306439223581249
434.zeusmp,1.0,6400.0,0.8866128636411164,0.8873653612524882
434.zeusmp,1.0,8000.0,0.9158106133115504,0.9169720759831596
434.zeusmp,1.0,8800.0,0.9270025419336549,0.9284432557870235
434.zeusmp,1.0,12800.0,0.9451487875896067,0.9470209887597985
434.zeusmp,1.0,17600.0,0.9652533804490752,0.9670320499252806
434.zeusmp,2.0,8000.0,1.1847026030766428,1.189638528263255
434.zeusmp,2.0,8800.0,1.1989470180735915,1.2061284020699836
434.zeusmp,4.0,8000.0,1.4112636576416178,1.4257674019779711
434.zeusmp,4.0,8800.0,1.423786389260532,1.4388886329265893
434.zeusmp,8.0,8000.0,1.6012024434630951,1.6244835255180727
434.zeusmp,8.0,8800.0,1.609284118395444,1.6342962759487025
434.zeusmp,16.0,8000.0,1.778050956735433,1.8017401472930492
434.zeusmp,16.0,8800.0,1.7842420191827213,1.808516710989131
435.gromacs,1.0,3200.0,3.2474089703203965,3.2493786180774866
435.gromacs,1.0,4800.0,3.2628051889304506,3.2647965476735386
435.gromacs,1.0,6400.0,3.2772230793689947,3.279096637732355
435.gromacs,1.0,8000.0,3.2904585054525564,3.2921867493196926
435.gromacs,1.0,8800.0,3.3152858234883875,3.3168418409143547
435.gromacs,1.0,12800.0,3.2939977951428117,3.296027466192399
435.gromacs,1.0,17600.0,3.3010990256555344,3.30246314081259
435.gromacs,2.0,8000.0,3.331538611273183,3.332920273414115
435.gromacs,2.0,8800.0,3.355621685761519,3.357011048420198
435.gromacs,4.0,8000.0,3.3488921298871563,3.3513360627373863
435.gromacs,4.0,8800.0,3.372163685769513,3.3735667831651486
435.gromacs,8.0,8000.0,3.3619421611739546,3.3629973012081176
435.gromacs,8.0,8800.0,3.385493519132829,3.3865540690720484
435.gromacs,16.0,8000.0,3.371415676052589,3.371415676052589
435.gromacs,16.0,8800.0,3.393641372169749,3.394045130170082
436.cactusADM,1.0,3200.0,1.987339253916361,1.9870935453332161
436.cactusADM,1.0,4800.0,2.107696206281744,2.107696206281744
436.cactusADM,1.0,6400.0,2.1641040104565006,2.1642499439957046
436.cactusADM,1.0,8000.0,2.201904324870794,2.202055158689188
436.cactusADM,1.0,8800.0,2.2100353736491756,2.2103366170241276
436.cactusADM,1.0,12800.0,2.2306323142154314,2.2314077511830424
436.cactusADM,1.0,17600.0,2.2548397451580136,2.255157863981237
436.cactusADM,2.0,8000.0,2.302251834808367,2.30327581143105
436.cactusADM,2.0,8800.0,2.3092367497347,2.3094011860400836
436.cactusADM,4.0,8000.0,2.3963026191448487,2.3963026191448487
436.cactusADM,4.0,8800.0,2.3996302716889213,2.3997040713753384
436.cactusADM,8.0,8000.0,2.4594338547590495,2.461249742177938
436.cactusADM,8.0,8800.0,2.4661318129887273,2.4670698016590857
436.cactusADM,16.0,8000.0,2.514075102170629,2.515058588767335
436.cactusADM,16.0,8800.0,2.5147661560459165,2.515741512793854
437.leslie3d,1.0,3200.0,1.2673101660435095,1.2708763831586238
437.leslie3d,1.0,4800.0,1.3999433134955768,1.4060165585444624
437.leslie3d,1.0,6400.0,1.4706350679271922,1.4791398053030174
437.leslie3d,1.0,8000.0,1.513278788269012,1.523908244326806
437.leslie3d,1.0,8800.0,1.5250829073192176,1.5348924238416313
437.leslie3d,1.0,12800.0,1.551290242372935,1.5628323083534146
437.leslie3d,1.0,17600.0,1.5750937718685034,1.586842170098188
437.leslie3d,2.0,8000.0,1.7652238455459928,1.7808705983205528
437.leslie3d,2.0,8800.0,1.775543516684017,1.7914358831485073
437.leslie3d,4.0,8000.0,1.9539657397354144,1.971582306741274
437.leslie3d,4.0,8800.0,1.9633951212073897,1.980839843366754
437.leslie3d,8.0,8000.0,2.090852001906104,2.107161483697741
437.leslie3d,8.0,8800.0,2.09825408768326,2.1142582088738595
437.leslie3d,16.0,8000.0,2.2031447114668063,2.2157488666344882
437.leslie3d,16.0,8800.0,2.2090958620444736,2.2216891047193688
444.namd,1.0,3200.0,3.956107517475373,3.956107517475373
444.namd,1.0,4800.0,3.960318958700986,3.9608076736370545
444.namd,1.0,6400.0,3.9630035470545995,3.9630035470545995
444.namd,1.0,8000.0,3.963701932058138,3.963701932058138
444.namd,1.0,8800.0,3.9634565110608895,3.9634565110608895
444.namd,1.0,12800.0,3.9646795816949063,3.9646795816949063
444.namd,1.0,17600.0,3.9657113101617933,3.9657113101617933
444.namd,2.0,8000.0,3.9657595293195502,3.9657595293195502
444.namd,2.0,8800.0,3.963940941180849,3.9644254897334066
444.namd,4.0,8000.0,3.965759592228545,3.965759592228545
444.namd,4.0,8800.0,3.9644254268667303,3.964910093879951
444.namd,8.0,8000.0,3.9657595607740475,3.9657595607740475
444.namd,8.0,8800.0,3.965394910861373,3.965394910861373
444.namd,16.0,8000.0,3.9662488329312877,3.9662488329312877
444.namd,16.0,8800.0,3.965394910861373,3.965394910861373
445.gobmk,1.0,3200.0,3.4627836119333204,3.463156688100143
445.gobmk,1.0,4800.0,3.488453146826488,3.48769504219546
445.gobmk,1.0,6400.0,3.505058191536905,3.505441047441489
445.gobmk,1.0,8000.0,3.5181150558718888,3.5181150558718888
445.gobmk,1.0,8800.0,3.520516496383391,3.5211300089297968
445.gobmk,1.0,12800.0,3.523004546796714,3.523004546796714
445.gobmk,1.0,17600.0,3.5286958877926087,3.5286958877926087
445.gobmk,2.0,8000.0,3.530132426704955,3.5305201320425827
445.gobmk,2.0,8800.0,3.5340077209587086,3.5340077209587086
445.gobmk,4.0,8000.0,3.546058900917767,3.546058900917767
445.gobmk,4.0,8800.0,3.5490256512075224,3.5490256512075224
445.gobmk,8.0,8000.0,3.5552879198014646,3.5552879198014646
445.gobmk,8.0,8800.0,3.5579387483197102,3.5579387483197102
445.gobmk,16.0,8000.0,3.561196313247301,3.561196313247301
445.gobmk,16.0,8800.0,3.562630401179259,3.562630401179259
447.dealII,1.0,3200.0,3.947027847394358,3.947027847394358
447.dealII,1.0,4800.0,3.9497516001233586,3.9497516001233586
447.dealII,1.0,6400.0,3.9517347997114602,3.9517347997114602
447.dealII,1.0,8000.0,3.95339115526304,3.95339115526304
447.dealII,1.0,8800.0,3.9537593221143674,3.9537593221143674
447.dealII,1.0,12800.0,3.9548789680486913,3.9553664037824694
447.dealII,1.0,17600.0,3.9567167085814856,3.9567167085814856
447.dealII,2.0,8000.0,3.9560822885682714,3.9560822885682714
447.dealII,2.0,8800.0,3.9562241505755362,3.9562241505755362
447.dealII,4.0,8000.0,3.9570562452093405,3.9570562452093405
447.dealII,4.0,8800.0,3.957317818642536,3.957317818642536
447.dealII,8.0,8000.0,3.957284524988305,3.957284524988305
447.dealII,8.0,8800.0,3.9579222130712424,3.958405291203488
447.dealII,16.0,8000.0,3.9587465908462187,3.9587465908462187
447.dealII,16.0,8800.0,3.958457845634506,3.958457845634506
450.soplex,1.0,3200.0,1.04264908086355,1.045803822823749
450.soplex,1.0,4800.0,1.1747871423156735,1.1806713577368484
450.soplex,1.0,6400.0,1.2488927585359053,1.2586923360285704
450.soplex,1.0,8000.0,1.2904177437084554,1.3010594183321416
450.soplex,1.0,8800.0,1.3012579005027296,1.3117793315582353
450.soplex,1.0,12800.0,1.3227086234496281,1.3340170882358973
450.soplex,1.0,17600.0,1.3468943196415915,1.3586006515511766
450.soplex,2.0,8000.0,1.531589866394975,1.54587665831715
450.soplex,2.0,8800.0,1.5397052569337255,1.554241345722332
450.soplex,4.0,8000.0,1.7128447391207298,1.7261057163038869
450.soplex,4.0,8800.0,1.7191634495674637,1.7335000937303497
450.soplex,8.0,8000.0,1.8258899760189071,1.8353687052171643
450.soplex,8.0,8800.0,1.8292869743430027,1.8389803318994633
450.soplex,16.0,8000.0,1.9246379527955677,1.931928910147594
450.soplex,16.0,8800.0,1.9277700424505757,1.9353545445842342
456.hmmer,1.0,3200.0,3.0687059383694604,3.069585074670573
456.hmmer,1.0,4800.0,3.1041158253883694,3.1041158253883694
456.hmmer,1.0,6400.0,3.136734057850309,3.1382676407405863
456.hmmer,1.0,8000.0,3.1613109622699875,3.1628661761655854
456.hmmer,1.0,8800.0,3.1607303641238493,3.1616547493887492
456.hmmer,1.0,12800.0,3.1725330175503954,3.173787910404577
456.hmmer,1.0,17600.0,3.1860013384264154,3.1860013384264154
456.hmmer,2.0,8000.0,3.2722991364134266,3.2742989737371295
456.hmmer,2.0,8800.0,3.27564763468007,3.276309457833232
456.hmmer,4.0,8000.0,3.321322640215547,3.3223524336304617
456.hmmer,4.0,8800.0,3.325406811646245,3.3260888966438498
456.hmmer,8.0,8000.0,3.34900411167281,3.3500511448957218
456.hmmer,8.0,8800.0,3.3504859293495763,3.352878453187349
456.hmmer,16.0,8000.0,3.374400901272784,3.3772369931273025
456.hmmer,16.0,8800.0,3.37524310357167,3.375945788090371
458.sjeng,1.0,3200.0,3.4964263690545847,3.4964263690545847
458.sjeng,1.0,4800.0,3.5188874488428543,3.5188874488428543
458.sjeng,1.0,6400.0,3.5319581710760586,3.5319581710760586
458.sjeng,1.0,8000.0,3.53680065470424,3.53680065470424
458.sjeng,1.0,8800.0,3.5408229012606203,3.5408229012606203
458.sjeng,1.0,12800.0,3.5454791981382603,3.5454791981382603
458.sjeng,1.0,17600.0,3.553832191768992,3.553832191768992
458.sjeng,2.0,8000.0,3.5530813113345774,3.5530813113345774
458.sjeng,2.0,8800.0,3.557304891058712,3.557304891058712
458.sjeng,4.0,8000.0,3.562599370247862,3.562599370247862
458.sjeng,4.0,8800.0,3.5657000084885055,3.5657000084885055
458.sjeng,8.0,8000.0,3.5767689316644065,3.5767689316644065
458.sjeng,8.0,8800.0,3.5796855138898063,3.5796855138898063
458.sjeng,16.0,8000.0,3.586070022937006,3.586070022937006
458.sjeng,16.0,8800.0,3.5870003692314687,3.5870003692314687
459.GemsFDTD,1.0,3200.0,0.9544816612432542,0.9555148866763076
459.GemsFDTD,1.0,4800.0,1.0687489998246118,1.0702791115393901
459.GemsFDTD,1.0,6400.0,1.123395406883311,1.1257215483936966
459.GemsFDTD,1.0,8000.0,1.155418666379593,1.1573515919836403
459.GemsFDTD,1.0,8800.0,1.16650327610812,1.1684788300965652
459.GemsFDTD,1.0,12800.0,1.184279594125024,1.186439153291244
459.GemsFDTD,1.0,17600.0,1.2052142359780211,1.20738401286656
459.GemsFDTD,2.0,8000.0,1.3671116883166028,1.3714687723912848
459.GemsFDTD,2.0,8800.0,1.3771626473320964,1.3816303556524332
459.GemsFDTD,4.0,8000.0,1.5396111777273493,1.5468483517184664
459.GemsFDTD,4.0,8800.0,1.5493566381774584,1.5567223320891117
459.GemsFDTD,8.0,8000.0,1.690415614271661,1.6975109095376508
459.GemsFDTD,8.0,8800.0,1.6982165296041767,1.7060739097147055
459.GemsFDTD,16.0,8000.0,1.8358129052426186,1.8437867530080043
459.GemsFDTD,16.0,8800.0,1.8428296174062364,1.851075147575763
462.libquantum,1.0,3200.0,1.120042433479448,1.1592274743068127
462.libquantum,1.0,4800.0,1.3850179040571233,1.467122397525873
462.libquantum,1.0,6400.0,1.5170016794452466,1.6278715266996633
462.libquantum,1.0,8000.0,1.5924525964286576,1.7103906904502375
462.libquantum,1.0,8800.0,1.5956132545333135,1.7165585623863295
462.libquantum,1.0,12800.0,1.628655817232662,1.7592330045311615
462.libquantum,1.0,17600.0,1.6607403876894788,1.7966011762541887
462.libquantum,2.0,8000.0,1.757697245347786,1.8598387922986575
462.libquantum,2.0,8800.0,1.7615627888830845,1.86580944067332
462.libquantum,4.0,8000.0,1.8939393656450878,1.961889634801505
462.libquantum,4.0,8800.0,1.8967272816825844,1.9622548661457855
462.libquantum,8.0,8000.0,1.9730720183082773,2.01493430615006
462.libquantum,8.0,8800.0,1.972034966656695,2.0137189111000295
462.libquantum,16.0,8000.0,2.0106685590757363,2.0336206791890383
462.libquantum,16.0,8800.0,2.0092900247266043,2.031763972028332
464.h264ref,1.0,3200.0,3.819948616648774,3.8204026279541092
464.h264ref,1.0,4800.0,3.8270374115792665,3.82749384207912
464.h264ref,1.0,6400.0,3.8331549395801634,3.8331549395801634
464.h264ref,1.0,8000.0,3.8379777431218622,3.838436020952241
464.h264ref,1.0,8800.0,3.8398323301886568,3.840287010147774
464.h264ref,1.0,12800.0,3.839529299509517,3.839529299509517
464.h264ref,1.0,17600.0,3.84422398657068,3.84422398657068
