workload,Channel,interface,1RFM-1tREFI,1RFM-2tREFI,1RFM-4tREFI,2RFM-1tREFI,4RFM-1tREFI
401.bzip2,1.0,8000.0,0.9617491665200404,0.9817613768739951,0.9905500364472214,0.9198488493302585,0.7969818183609853
403.gcc,1.0,8000.0,0.9906114453335925,0.9960174989975689,0.9977400890706786,0.9749205137238747,0.878666602345631
429.mcf,1.0,8000.0,0.8935368455342751,0.9468200367832404,0.9735838737410567,0.7923001462646814,0.554442657074699
433.milc,1.0,8000.0,0.896146116859938,0.9481661045502354,0.9742703244181076,0.7964780641056984,0.554023864545312
434.zeusmp,1.0,8000.0,0.8778336766741915,0.9387725132724868,0.9691484702152895,0.7555554891699849,0.5149838880278425
435.gromacs,1.0,8000.0,0.9685173942038399,0.9855662750741472,0.9927811432925937,0.8411491598878466,0.6544886195469471
436.cactusADM,1.0,8000.0,0.9001832497895561,0.950101706969027,0.975278957651691,0.8022550626834881,0.5801477035789635
437.leslie3d,1.0,8000.0,0.8860482644991691,0.9431290070488386,0.9706335293262938,0.7741666674649702,0.5388076979603525
444.namd,1.0,8000.0,0.9961087429075698,0.9977357131751705,0.999005522091359,0.9922754854910685,0.9791958676649434
445.gobmk,1.0,8000.0,0.9490082535233966,0.9740646989018017,0.9872408577634038,0.8967624875976402,0.7581195987538702
447.dealII,1.0,8000.0,0.9956440606443885,0.9981046746242753,0.9992518590147192,0.9906445922593372,0.9727248379972512
450.soplex,1.0,8000.0,0.8855090874992939,0.942690528719681,0.9711803369775283,0.7726689169372106,0.5331669773113016
456.hmmer,1.0,8000.0,0.9354686906083951,0.9678039368329854,0.9836212092562067,0.8645054527491985,0.6911651428606281
458.sjeng,1.0,8000.0,0.948495571885599,0.9745303150245734,0.9871462909851153,0.896016614703096,0.7622230704864278
459.GemsFDTD,1.0,8000.0,0.8827638822465699,0.9414363419165807,0.9707378028449613,0.7662927736689359,0.5274048489119014
462.libquantum,1.0,8000.0,0.8720074254135567,0.9359203833381172,0.9678843181015081,0.7437464083933362,0.49786115598962266
464.h264ref,1.0,8000.0,0.9872197106676731,0.9935559513634752,0.9968240175065105,0.9762591165262346,0.9315397381960687
470.lbm,1.0,8000.0,0.8801678237008715,0.9401300205799148,0.9699151176908314,0.7607598947480969,0.5201436493663342
