workload,Channel,interface,1RFM-1tREFI,1RFM-2tREFI,1RFM-4tREFI,2RFM-1tREFI,4RFM-1tREFI
401.bzip2,1.0,8000.0,0.9698918504208535,0.9853575272761299,0.9924355100841015,0.9353543698706286,0.8376495029012101
403.gcc,1.0,8000.0,0.9967129075435185,0.9991672935803935,0.9994642539497026,0.9858108277354287,0.898461673515122
429.mcf,1.0,8000.0,0.9254164147745654,0.9625994473789624,0.9812741945339613,0.8624809549160101,0.6637004192176705
433.milc,1.0,8000.0,0.9319426107400485,0.9658920670724188,0.9832531403088159,0.8758068911544913,0.6734648277596784
434.zeusmp,1.0,8000.0,0.9004877354462012,0.9498219330701257,0.9752120679785351,0.80095157574176,0.5982741862862897
435.gromacs,1.0,8000.0,0.9747290329033674,0.9872780082926844,0.9936250055588354,0.8497572745530633,0.7585232831802623
436.cactusADM,1.0,8000.0,0.9275296918832705,0.9638270442409977,0.9818758984989344,0.8600968702554727,0.6688515185822267
437.leslie3d,1.0,8000.0,0.9076704542588339,0.953834569664082,0.9764790917166195,0.8181863470109777,0.6165665978185682
444.namd,1.0,8000.0,0.9970143828155588,0.9986099179122728,0.9991886811566044,0.9945484155869965,0.9843753450994279
445.gobmk,1.0,8000.0,0.961198140652964,0.9802364121036072,0.9912566844614547,0.9199681876239855,0.806637388858478
447.dealII,1.0,8000.0,0.9962697018389899,0.998569090891408,0.9993147646436901,0.9923138514009232,0.9781940407724712
450.soplex,1.0,8000.0,0.9098934793298137,0.9547471553442164,0.9771280414435726,0.8242746245381137,0.6181914836705185
456.hmmer,1.0,8000.0,0.946510156692489,0.9737779412935943,0.9872224719944479,0.8887909412343138,0.7487941965214248
458.sjeng,1.0,8000.0,0.9601328826101717,0.9802105822052576,0.9906442785817258,0.9207805469251442,0.810936524343685
459.GemsFDTD,1.0,8000.0,0.9061127891515615,0.9527666966186279,0.9765372176525302,0.8139430291318089,0.6123593046209119
462.libquantum,1.0,8000.0,0.884611259171468,0.9420246913570903,0.9710514400846418,0.7697531926644106,0.5527286325045551
464.h264ref,1.0,8000.0,0.9906310665403658,0.9954875166724851,0.9981864710237295,0.9814598950376108,0.9491107494163746
470.lbm,1.0,8000.0,0.901882424149872,0.9505197289191974,0.9752079227030175,0.8051672744093042,0.6002872434010075
471.omnetpp,1.0,8000.0,0.9388911122417277,0.9692706625410272,0.9846563549153684,0.8773543134551126,0.713158555826872
473.astar,1.0,8000.0,0.9236760407556042,0.9619540477580338,0.9810105767175389,0.855639490081883,0.6564464514045063
481.wrf,1.0,8000.0,0.9981025554207175,0.9991702196046904,0.9995402883972355,0.9949567036469652,0.9890466890974621
482.sphinx3,1.0,8000.0,0.9097609655427459,0.954430030004464,0.9776992741543812,0.8239972838273802,0.6169852582091313
483.xalancbmk,1.0,8000.0,0.9316133732000522,0.9659724845040283,0.9827885071795429,0.8706003544104595,0.6822999030113642
500.perlbench,1.0,8000.0,0.9166868764517585,0.9588608958780679,0.9797582139256216,0.8319726670468613,0.6363943921242613
502.gcc,1.0,8000.0,0.969234920649123,0.98451185708077,0.9915620370898528,0.9375107814206495,0.8372703333548597
505.mcf,1.0,8000.0,0.9500370335767205,0.975470540491904,0.9881507312064597,0.9008091425150269,0.7541329006027386
507.cactuBSSN,1.0,8000.0,0.9790050619520707,0.9838388401899744,0.984750325823738,0.9532014217723551,0.8797551097107342
508.namd,1.0,8000.0,0.9568517434762218,0.9811730190999194,0.9904047190303924,0.9179179756562422,0.8136958391780238
510.parest,1.0,8000.0,0.913679853948608,0.9583318574635481,0.9795952056367827,0.8416381037588722,0.6455599933190534
511.povray,1.0,8000.0,0.9994878463857031,0.9997338855013297,0.9998797144153883,0.9987573678352655,0.997231226472467
519.lbm,1.0,8000.0,0.9024304731770497,0.9513925363858062,0.9758916448946748,0.8054679559465671,0.6007412072795089
520.omnetpp,1.0,8000.0,0.9255794577914465,0.9631758259063872,0.9809486101691658,0.8570088750390472,0.6576449985140218
523.xalancbmk,1.0,8000.0,0.9496835790964303,0.9756558873568884,0.9873880370064071,0.8978321013997782,0.764666758211956
525.x264,1.0,8000.0,0.9770176431102237,0.9885609433263898,0.9942409393976299,0.9509510668001006,0.8730907322071788
526.blender,1.0,8000.0,0.9915684262906308,0.997392168428146,0.9981023444141583,0.9839315501297051,0.954766383627208
531.deepsjeng,1.0,8000.0,0.9592841264094373,0.9797388595672775,0.9899729568157283,0.9150119820623863,0.7995288078012829
538.imagick,1.0,8000.0,0.9972112375800072,0.9988105075583916,0.9993309559411895,0.9952038681088168,0.9881297479885187
541.leela,1.0,8000.0,0.998369163415702,0.9989837903630793,0.9995088342494798,0.996886168039653,0.9919537173392469
544.nab,1.0,8000.0,0.9718225847082743,0.9932570802211735,0.9966172089186048,0.8964210943149706,0.7194860201577786
549.fotonik3d,1.0,8000.0,0.9064275677966531,0.9530918384451513,0.9767210637829437,0.8143318842848766,0.6146680263143522
557.xz,1.0,8000.0,0.943376963376622,0.9710608601742735,0.9850598760000444,0.8889834917517676,
grep_map0,1.0,8000.0,0.9607158205357896,0.9812275060486235,0.9909605979939827,0.9171527022821918,0.7979973310297678
h264_encode,1.0,8000.0,0.998966110436771,0.9995074774744718,0.9997805741462761,0.9976509688410269,0.9933503772539228
jp2_decode,1.0,8000.0,0.9287127830233,0.9648412616056029,0.9825711269807021,0.8538285051953541,0.6789533452343988
jp2_encode,1.0,8000.0,0.9492593050007665,0.9749596056094542,0.9878217454572601,0.8951932135984104,0.7545304548006676
tpcc64,1.0,8000.0,0.9435741005007874,0.9725867336700018,0.9861303018507315,0.8929323811442389,0.7405769321757544
tpch17,1.0,8000.0,0.914795065357955,0.9582436709463118,0.9784398388533251,0.8311489452087066,0.6252474220057554
tpch2,1.0,8000.0,0.9259982520392036,0.9629562745988324,0.9811575857911836,0.8551191150491542,0.6597650589907187
tpch6,1.0,8000.0,0.9608111672722367,0.9823408767386823,0.9910078019186249,0.9190165538910706,0.7872993081400139
wc_8443,1.0,8000.0,0.9094282221820115,0.9548487349273378,0.9773240257411794,0.8194252173504493,0.6272918880515319
wc_map0,1.0,8000.0,0.9099795667890577,0.9552091569947424,0.9777335779405181,0.8203316794403032,0.62865059850908
ycsb_abgsave,1.0,8000.0,0.9155654417704701,0.9582200138569699,0.9785288561068183,0.8341770709078349,0.6561576087251093
ycsb_aserver,1.0,8000.0,0.9267363021331197,0.9635926345507067,0.9825505498289977,0.8587511810076743,0.666801943098208
ycsb_bserver,1.0,8000.0,0.9167698856183262,0.9590177077883446,0.9799029851278664,0.8408716737198384,0.6524206151319702
ycsb_cserver,1.0,8000.0,0.9169665382749869,0.9579252538207899,0.9792148842658976,0.8435039179514239,0.6559353965377841
ycsb_dserver,1.0,8000.0,0.9312571651793276,0.964778957688852,0.9832024991501035,0.8739554921380297,0.7006515477935636
ycsb_eserver,1.0,8000.0,0.9181478070911419,0.9583885068996577,0.9792540230628,0.8389728805015908,0.6477026604969063
SPEC2K6 (23),1.0,8000.0,0.9424032288734466,0.9713776184865015,0.9858303829615721,0.8809626736458379,0.728713796429464
SPEC2K17 (18),1.0,8000.0,0.9554635444435357,0.9783738117622024,0.9887400856930864,0.9081498684995136,0.7951930581205487
TPC (4),1.0,8000.0,0.9361318219953746,0.9689877151335649,0.9841721420436453,0.8739002122684435,0.7003059526298266
Hadoop (3),1.0,8000.0,0.9263995530058993,0.963683129210716,0.9819857012665021,0.8510991421823827,0.6801846307674881
MediaBench (3),1.0,8000.0,0.95852993499237,0.979661812081979,0.9900316793697852,0.913598448081686,0.7983740071308429
YCSB (6),1.0,8000.0,0.9208882615560271,0.9603165119722729,0.9804406914107796,0.8482618659275014,0.6630484374513406
All (57),1.0,8000.0,0.9433882911056759,0.9720875735796694,0.9859960171021445,0.8848870538683751,0.7390630947425924
