workload,Channel,interface,mitigation,RD_REQs,WR_REQs,WR_ratio
481.wrf,2.0,8800.0,Baseline,13887.0,31.0,0.0022273315131484408
450.soplex,1.0,17600.0,Baseline,8930307.0,4465167.0,0.3333340052020556
549.fotonik3d,1.0,6400.0,Baseline,12740001.0,4083583.0,0.24272967044358681
401.bzip2,1.0,6400.0,Baseline,470875.0,219614.0,0.3180557546897923
433.milc,1.0,6400.0,Baseline,8008212.0,2704600.0,0.2524640589230913
549.fotonik3d,16.0,8800.0,Baseline,12740000.0,4083583.0,0.24272968487152827
433.milc,2.0,8800.0,Baseline,8008212.0,2704600.0,0.2524640589230913
437.leslie3d,1.0,6400.0,Baseline,7490900.0,2538104.0,0.2530763772753506
ycsb_aserver,4.0,8800.0,Baseline,1403658.0,332583.0,0.19155347673508458
502.gcc,1.0,17600.0,Baseline,325828.0,211600.0,0.393727159731164
500.perlbench,1.0,17600.0,Baseline,859959.0,52943.0,0.05799417681196886
436.cactusADM,16.0,8800.0,Baseline,2408645.0,715034.0,0.2289076438392037
471.omnetpp,1.0,6400.0,Baseline,5507746.0,228046.0,0.03975841522844622
grep_map0,8.0,8800.0,Baseline,1830037.0,1761170.0,0.49041171951380136
tpch2,16.0,8800.0,Baseline,4654963.0,2045902.0,0.3053190894011445
403.gcc,1.0,6400.0,Baseline,93218.0,3704.0,0.038216297641402365
510.parest,1.0,17600.0,Baseline,8614701.0,131156.0,0.014996357703996304
510.parest,1.0,6400.0,Baseline,8614701.0,131156.0,0.014996357703996304
523.xalancbmk,2.0,8800.0,Baseline,443874.0,370371.0,0.4548643221634766
435.gromacs,16.0,8800.0,Baseline,264404.0,82242.0,0.2372506822522112
508.namd,2.0,8800.0,Baseline,191281.0,25929.0,0.11937295704617651
tpch2,1.0,6400.0,Baseline,4654963.0,2045902.0,0.3053190894011445
401.bzip2,2.0,8800.0,Baseline,470875.0,219614.0,0.3180557546897923
434.zeusmp,16.0,8800.0,Baseline,12060506.0,11463590.0,0.48731266867810774
459.GemsFDTD,1.0,3200.0,Baseline,12223573.0,4463118.0,0.2674657306232853
523.xalancbmk,1.0,3200.0,Baseline,443874.0,370371.0,0.4548643221634766
444.namd,8.0,8800.0,Baseline,21246.0,255.0,0.011859913492395702
531.deepsjeng,1.0,6400.0,Baseline,145881.0,75902.0,0.34223542832408255
456.hmmer,1.0,6400.0,Baseline,371231.0,264766.0,0.4163007058209394
401.bzip2,8.0,8800.0,Baseline,470875.0,219614.0,0.3180557546897923
wc_map0,1.0,17600.0,Baseline,2751144.0,2658120.0,0.49140141801176646
538.imagick,1.0,8800.0,Baseline,4719.0,0.0,0.0
505.mcf,1.0,6400.0,Baseline,5745829.0,44231.0,0.007639126364839052
437.leslie3d,2.0,8800.0,Baseline,7490900.0,2538104.0,0.2530763772753506
436.cactusADM,2.0,8800.0,Baseline,2408645.0,715034.0,0.2289076438392037
557.xz,16.0,8800.0,Baseline,1141576.0,721513.0,0.38726706024242535
519.lbm,1.0,17600.0,Baseline,12626141.0,9445015.0,0.4279347669872842
434.zeusmp,8.0,8800.0,Baseline,12060506.0,11463590.0,0.48731266867810774
473.astar,1.0,3200.0,Baseline,2670428.0,1875421.0,0.41255681831930624
h264_encode,4.0,8800.0,Baseline,33462.0,3200.0,0.08728383612459768
458.sjeng,4.0,8800.0,Baseline,170651.0,97055.0,0.36254323773094366
447.dealII,1.0,8800.0,Baseline,21604.0,504.0,0.022797177492310475
531.deepsjeng,1.0,3200.0,Baseline,145881.0,75902.0,0.34223542832408255
437.leslie3d,16.0,8800.0,Baseline,7490900.0,2538104.0,0.2530763772753506
401.bzip2,1.0,17600.0,Baseline,470875.0,219614.0,0.3180557546897923
grep_map0,16.0,8800.0,Baseline,1830037.0,1761170.0,0.49041171951380136
510.parest,1.0,8800.0,Baseline,8614701.0,131156.0,0.014996357703996304
h264_encode,1.0,12800.0,Baseline,33462.0,3200.0,0.08728383612459768
464.h264ref,1.0,8800.0,Baseline,63032.0,20886.0,0.24888581710717605
444.namd,4.0,8800.0,Baseline,21246.0,255.0,0.011859913492395702
jp2_encode,4.0,8800.0,Baseline,1345306.0,1109223.0,0.45190869612866663
ycsb_dserver,1.0,3200.0,Baseline,910378.0,117098.0,0.11396665226243727
ycsb_eserver,8.0,8800.0,Baseline,1405847.0,86206.0,0.057776767983442945
tpch6,1.0,17600.0,Baseline,527986.0,240815.0,0.3132345041174504
483.xalancbmk,8.0,8800.0,Baseline,6805319.0,163340.0,0.023439229843216607
450.soplex,2.0,8800.0,Baseline,8930307.0,4465167.0,0.3333340052020556
tpch6,1.0,3200.0,Baseline,527986.0,240815.0,0.3132345041174504
549.fotonik3d,8.0,8800.0,Baseline,12740000.0,4083583.0,0.24272968487152827
tpcc64,1.0,12800.0,Baseline,1802978.0,430493.0,0.19274617848183387
ycsb_abgsave,16.0,8800.0,Baseline,516619.0,149927.0,0.22493121254947146
jp2_decode,1.0,12800.0,Baseline,2414320.0,1853971.0,0.43435909126158456
525.x264,4.0,8800.0,Baseline,152049.0,54542.0,0.2640095647922707
433.milc,1.0,3200.0,Baseline,8008212.0,2704600.0,0.2524640589230913
549.fotonik3d,2.0,8800.0,Baseline,12739998.0,4083582.0,0.2427296687149822
435.gromacs,1.0,3200.0,Baseline,264404.0,82242.0,0.2372506822522112
tpch17,4.0,8800.0,Baseline,3801889.0,1319302.0,0.25761624590842247
ycsb_cserver,1.0,3200.0,Baseline,1279983.0,41568.0,0.031453950698837954
ycsb_dserver,2.0,8800.0,Baseline,910378.0,117098.0,0.11396665226243727
505.mcf,1.0,12800.0,Baseline,5745829.0,44231.0,0.007639126364839052
473.astar,1.0,12800.0,Baseline,2670428.0,1875421.0,0.41255681831930624
ycsb_dserver,1.0,8800.0,Baseline,910378.0,117098.0,0.11396665226243727
462.libquantum,1.0,3200.0,Baseline,13190099.0,2097751.0,0.13721687483851555
470.lbm,16.0,8800.0,Baseline,14403466.0,10571052.0,0.4232735142275819
511.povray,1.0,6400.0,Baseline,4770.0,0.0,0.0
505.mcf,4.0,8800.0,Baseline,5745829.0,44231.0,0.007639126364839052
531.deepsjeng,1.0,17600.0,Baseline,145881.0,75902.0,0.34223542832408255
tpch17,1.0,8800.0,Baseline,3801889.0,1319302.0,0.25761624590842247
445.gobmk,2.0,8800.0,Baseline,171205.0,111210.0,0.39378219995396846
wc_8443,1.0,6400.0,Baseline,2768471.0,2670936.0,0.49103440871403814
482.sphinx3,1.0,3200.0,Baseline,6303810.0,384674.0,0.057512883337988104
544.nab,2.0,8800.0,Baseline,131968.0,3701.0,0.027279629097288254
470.lbm,1.0,6400.0,Baseline,14403466.0,10571052.0,0.4232735142275819
502.gcc,1.0,12800.0,Baseline,325828.0,211600.0,0.393727159731164
403.gcc,2.0,8800.0,Baseline,93218.0,3704.0,0.038216297641402365
462.libquantum,1.0,6400.0,Baseline,13190099.0,2097751.0,0.13721687483851555
