,workload,Nrh,ABO-Only,BAT-RFM,Baseline,TPRAC-S
0,MIX0,256.0,176703721.08020002,,,
1,MIX0,512.0,176603049.734625,190102635.12500003,176655912.7216,
2,MIX0,1024.0,176622008.956725,178937765.4999,,
3,MIX0,2048.0,176655912.7216,177718933.71864998,,181313178.16834998
4,MIX0,4096.0,176655912.7216,177718933.71864998,,181313178.16834998
5,MIX1,256.0,170482580.5553,,,
6,MIX1,512.0,170002637.649475,182750237.20985,169848046.433025,
7,MIX1,1024.0,169832747.85985002,172085740.12815002,,
8,MIX1,2048.0,169848046.433025,170934093.14797503,,173770437.93502504
9,MIX1,4096.0,169848046.433025,170934093.14797503,,173770437.93502504
10,MIX10,256.0,169330631.27515,,,
11,MIX10,512.0,169230295.63147503,181731494.0056,169250197.0401,
12,MIX10,1024.0,169245855.13705,171453805.096325,,
13,MIX10,2048.0,169250197.0401,170232516.18015,,173773922.99490002
14,MIX10,4096.0,169250197.0401,170232516.18015,,173773922.99490002
15,MIX11,256.0,227171979.26755,,,
16,MIX11,512.0,226581065.04832503,,226435847.18605003,
17,MIX11,1024.0,226523489.56030002,229782026.81067502,,
18,MIX11,2048.0,226455650.921825,227867094.78932503,,232104029.894925
19,MIX11,4096.0,226435847.18605003,227867094.78932503,,232104029.894925
20,MIX12,256.0,88879832.16215003,101881174.43830001,,
21,MIX12,512.0,88806343.42175001,93353366.95110002,88791843.711775,
22,MIX12,1024.0,88784857.706925,89808040.61875,,
23,MIX12,2048.0,88791843.711775,89167575.101775,,91187109.07915
24,MIX12,4096.0,88791843.711775,89167575.101775,,91187109.07915
25,MIX13,256.0,144608813.993225,,,
26,MIX13,512.0,144470352.4371,155628347.63647503,144416037.37492502,
27,MIX13,1024.0,144492542.14895,146372816.1625,,
28,MIX13,2048.0,144416037.37492502,145443660.99622503,,148407745.483675
29,MIX13,4096.0,144416037.37492502,145443660.99622503,,148407745.483675
30,MIX14,256.0,166680135.531425,,,
31,MIX14,512.0,166666492.025175,179409590.38975,166712513.45402503,
32,MIX14,1024.0,166709137.87375003,168991625.62732503,,
33,MIX14,2048.0,166712513.45402503,167711484.685925,,171207617.17955002
34,MIX14,4096.0,166712513.45402503,167711484.685925,,171207617.17955002
35,MIX15,128.0,,62600878.513125,,
36,MIX15,256.0,43431597.68107501,48100746.51405,,66635600.77285001
37,MIX15,512.0,43431597.68107501,45069569.331625,43431597.68107501,54097529.330175005
38,MIX15,1024.0,43431597.68107501,43698177.403725,,45901795.123375
39,MIX15,2048.0,43431597.68107501,43559958.146775,,44647749.50367501
40,MIX15,4096.0,43431597.68107501,43559958.146775,,44647749.50367501
41,MIX16,256.0,86185895.79635002,99508622.25012502,,
42,MIX16,512.0,86194076.558875,90670307.95504999,86201002.71397501,
43,MIX16,1024.0,86197611.76305,86990990.427575,,
44,MIX16,2048.0,86201002.71397501,86470927.145025,,88846267.65374999
45,MIX16,4096.0,86201002.71397501,86470927.145025,,88846267.65374999
46,MIX17,256.0,65419823.11147501,,,
47,MIX17,512.0,65431597.006125,67973323.17425,65431597.006125,
48,MIX17,1024.0,65431597.006125,65865662.4277,,
49,MIX17,2048.0,65431597.006125,65561586.427700005,,67236119.19252501
50,MIX17,4096.0,65431597.006125,65561586.427700005,,67236119.19252501
51,MIX18,128.0,,87105287.190675,,
52,MIX18,256.0,56950137.49425001,64082479.439375,,90799776.60585001
53,MIX18,512.0,56947238.74627501,59285791.04295002,56947238.74627501,72208873.802075
54,MIX18,1024.0,56947238.74627501,57454811.48872501,,60498352.34797501
55,MIX18,2048.0,56947238.74627501,57118381.25422501,,58721194.482225
56,MIX18,4096.0,56947238.74627501,57118381.25422501,,58721194.482225
57,MIX19,128.0,,99410132.9105,,
58,MIX19,256.0,63834504.468525,72811683.56525001,,97074274.89877501
59,MIX19,512.0,63724333.033075,65355435.38045001,63771781.36095,78240116.84575
60,MIX19,1024.0,63771781.36095,63680880.15045,,66012918.063200004
61,MIX19,2048.0,63771781.36095,62755696.99920001,,64278273.09710001
62,MIX19,4096.0,63771781.36095,62755696.99920001,,64278273.09710001
63,MIX2,256.0,101535868.49037501,118769519.76442501,,
64,MIX2,512.0,101435507.08587502,107274000.53015001,101417555.231,
65,MIX2,1024.0,101393736.408925,102424910.33229999,,
