workload,Benchmark_Types,Nrh,prac-level,Mitigations,WS
MIX0,HHHH (15),1024.0,1.0,ABO-Only,0.999996430627511
MIX1,HHHH (15),1024.0,1.0,ABO-Only,0.99996490688904
MIX10,HHHH (15),1024.0,1.0,ABO-Only,1.000040034166811
MIX11,HHHH (15),1024.0,1.0,ABO-Only,0.9997069825471164
MIX12,HHHH (15),1024.0,1.0,ABO-Only,0.9999870344270992
MIX13,HHHH (15),1024.0,1.0,ABO-Only,0.9999944038533444
MIX14,HHHH (15),1024.0,1.0,ABO-Only,0.99997788540122
MIX2,HHHH (15),1024.0,1.0,ABO-Only,1.0001147506073695
MIX3,HHHH (15),1024.0,1.0,ABO-Only,0.9999483826275672
MIX4,HHHH (15),1024.0,1.0,ABO-Only,0.9999956097940405
MIX46,HHMM (15),1024.0,1.0,ABO-Only,1.0
MIX48,HHMM (15),1024.0,1.0,ABO-Only,0.99998743397667
MIX49,HHMM (15),1024.0,1.0,ABO-Only,1.0
MIX5,HHHH (15),1024.0,1.0,ABO-Only,1.0000423347568046
MIX50,HHMM (15),1024.0,1.0,ABO-Only,1.0
MIX52,HHMM (15),1024.0,1.0,ABO-Only,0.999914780212369
MIX6,HHHH (15),1024.0,1.0,ABO-Only,1.0000244410881385
MIX7,HHHH (15),1024.0,1.0,ABO-Only,1.0000277696976192
MIX8,HHHH (15),1024.0,1.0,ABO-Only,1.0
MIX9,HHHH (15),1024.0,1.0,ABO-Only,1.0000436122282654
HHHH (15),,1024.0,1.0,ABO-Only,0.9999909682774314
MMMM (15),,1024.0,1.0,ABO-Only,0.9999976429148492
LLLL (15),,1024.0,1.0,ABO-Only,1.0
HHMM (15),,1024.0,1.0,ABO-Only,0.9999779090226596
HHLL (15),,1024.0,1.0,ABO-Only,0.9999917099411264
MMLL (15),,1024.0,1.0,ABO-Only,1.0
All (90),,1024.0,1.0,ABO-Only,0.999993038329921
MIX0,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9896659160090724
MIX1,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9876003650955648
MIX10,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9899205268065604
MIX11,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9850102244322486
MIX12,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9893587461116446
MIX13,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9884581401423111
MIX14,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9892567810606364
MIX2,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9935589335979044
MIX3,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9878641344833352
MIX4,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9926990318103536
MIX46,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.992202642891746
MIX48,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.9901314914091766
MIX49,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.9911117901413354
MIX5,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.991484887874484
MIX50,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.9952065976962168
MIX52,HHMM (15),1024.0,1.0,ABO+ACB-RFM,0.989196366730321
MIX6,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9887701063398726
MIX7,HHHH (15),1024.0,1.0,ABO+ACB-RFM,0.9872639047559316
