workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC
401.bzip2,1024.0,1.0,1.0,1.0043423195223449,0.9310656775827755
401.bzip2,1024.0,2.0,1.0,1.0043423195223449,0.9310656775827755
401.bzip2,1024.0,4.0,1.0,1.0043423195223449,0.9310656775827755
403.gcc,1024.0,1.0,0.999439650341813,0.9995517202734505,0.9950689230079569
403.gcc,1024.0,2.0,0.9996637902050878,0.9995517202734505,0.9950689230079569
403.gcc,1024.0,4.0,0.9993275804101758,0.9995517202734505,0.9950689230079569
410.bwaves,1024.0,1.0,1.0,0.9813482295019882,0.9267184245408068
410.bwaves,1024.0,2.0,1.0,0.9813482295019882,0.9267184245408068
410.bwaves,1024.0,4.0,1.0,0.9813482295019882,0.9267184245408068
416.gamess,1024.0,1.0,1.0,1.0001159285879897,0.9997681428240204
416.gamess,1024.0,2.0,1.0,1.0001159285879897,0.9997681428240204
416.gamess,1024.0,4.0,1.0,1.0001159285879897,0.9997681428240204
429.mcf,1024.0,1.0,1.0,0.9841043712978932,0.9388168253730225
429.mcf,1024.0,2.0,1.0,0.9841043712978932,0.9388168253730225
429.mcf,1024.0,4.0,1.0,0.9841043712978932,0.9388168253730225
433.milc,1024.0,1.0,1.0,0.9736112784672852,0.9174599349319195
433.milc,1024.0,2.0,1.0,0.9736112784672852,0.9174599349319195
433.milc,1024.0,4.0,1.0,0.9736112784672852,0.9174599349319195
435.gromacs,1024.0,1.0,1.0,0.9986521397281817,0.9980905312815905
435.gromacs,1024.0,2.0,1.0,0.9986521397281817,0.9980905312815905
435.gromacs,1024.0,4.0,1.0,0.9986521397281817,0.9980905312815905
436.cactusADM,1024.0,1.0,1.0,0.9908557848784646,0.933588200346137
436.cactusADM,1024.0,2.0,1.0,0.9908557848784646,0.933588200346137
436.cactusADM,1024.0,4.0,1.0,0.9908557848784646,0.933588200346137
437.leslie3d,1024.0,1.0,1.0,0.9842682232346242,0.9333712984054668
437.leslie3d,1024.0,2.0,1.0,0.9842682232346242,0.9333712984054668
437.leslie3d,1024.0,4.0,1.0,0.9842682232346242,0.9333712984054668
444.namd,1024.0,1.0,1.0,0.9997417799965571,0.9964709932862799
444.namd,1024.0,2.0,1.0,0.9997417799965571,0.9964709932862799
444.namd,1024.0,4.0,1.0,0.9997417799965571,0.9964709932862799
445.gobmk,1024.0,1.0,1.0,1.0002208968411752,0.9992268610558871
445.gobmk,1024.0,2.0,1.0,1.0002208968411752,0.9992268610558871
445.gobmk,1024.0,4.0,1.0,1.0002208968411752,0.9992268610558871
447.dealII,1024.0,1.0,1.0,1.000103852944231,0.9989614705576904
447.dealII,1024.0,2.0,1.0,1.000103852944231,0.9989614705576904
447.dealII,1024.0,4.0,1.0,1.000103852944231,0.9989614705576904
450.soplex,1024.0,1.0,1.0,0.9934097130690459,0.9211193348879652
450.soplex,1024.0,2.0,1.0,0.9934097130690459,0.9211193348879652
450.soplex,1024.0,4.0,1.0,0.9934097130690459,0.9211193348879652
453.povray,1024.0,1.0,1.0,0.9998755909430205,0.9997511818860412
453.povray,1024.0,2.0,1.0,0.9998755909430205,0.9997511818860412
453.povray,1024.0,4.0,1.0,0.9998755909430205,0.9997511818860412
454.calculix,1024.0,1.0,1.0,1.0,0.9995510460626739
454.calculix,1024.0,2.0,1.0,1.0,0.9995510460626739
454.calculix,1024.0,4.0,1.0,1.0,0.9995510460626739
456.hmmer,1024.0,1.0,1.0,1.0002521114332537,0.9982352199672256
456.hmmer,1024.0,2.0,1.0,1.0002521114332537,0.9982352199672256
456.hmmer,1024.0,4.0,1.0,1.0002521114332537,0.9982352199672256
458.sjeng,1024.0,1.0,1.0,0.9987220447284345,0.9782747603833866
458.sjeng,1024.0,2.0,1.0,0.9987220447284345,0.9782747603833866
458.sjeng,1024.0,4.0,1.0,0.9987220447284345,0.9782747603833866
459.GemsFDTD,1024.0,1.0,1.0,0.9945840782416658,0.963350510043117
459.GemsFDTD,1024.0,2.0,1.0,0.9945840782416658,0.963350510043117
459.GemsFDTD,1024.0,4.0,1.0,0.9945840782416658,0.963350510043117
464.h264ref,1024.0,1.0,1.0,0.9911389106072452,0.972765181131092
464.h264ref,1024.0,2.0,1.0,0.9911389106072452,0.972765181131092
464.h264ref,1024.0,4.0,1.0,0.9911389106072452,0.972765181131092
465.tonto,1024.0,1.0,1.0,1.0001098659635244,0.996923753021314
