workload,NRH,Prac Level,TPRAC,TPRAC-TREFpertREFI,TPRAC-TREFper4tREFI,TPRAC-NoReset,TPRAC-NoReset-TREFpertREFI,TPRAC-NoReset-TREFper4tREFI
401.bzip2,128.0,1.0,0.7751040347385562,0.8102044508775104,0.8225076895241542,0.740003618599602,0.7975393522706712,0.7235932694047403
401.bzip2,256.0,1.0,0.8686448344490683,0.8762438936131717,0.8751583137325855,0.8089379410168265,0.8923466618418673,0.8425909173149991
401.bzip2,512.0,1.0,0.9654423738013389,0.950787045413425,0.9272661480007237,0.9030215306676317,0.9126108196128099,0.8898136421204994
401.bzip2,1024.0,1.0,0.9310656775827755,1.0,0.9844400217115977,0.9393884566672698,1.0,0.9600144743984076
401.bzip2,2048.0,1.0,0.9618237741993848,1.0,0.9791930522887644,0.9513298353537181,1.0,0.9893251311742356
401.bzip2,4096.0,1.0,0.9851637416319885,1.0,1.0,0.998733490139316,1.0,1.0
403.gcc,128.0,1.0,0.9512495797377561,0.9624565729014902,0.9539392580970524,0.9404908663005713,0.954835817550151,0.9451978034293397
403.gcc,256.0,1.0,0.96794799955172,0.9837498599125851,0.9726549366804884,0.9700773282528294,0.9743359856550486,0.9699652583211922
403.gcc,512.0,1.0,0.9883447271097161,0.9909223355373752,0.9866636781351562,0.9855429788187827,0.9908102656057379,0.9876723075198923
403.gcc,1024.0,1.0,0.9950689230079569,1.0,0.9940602936232208,0.9932758041017594,1.0,0.9943965034181327
403.gcc,2048.0,1.0,0.9982068810938023,1.0,0.997758601367253,0.9948447831446822,1.0,0.9976465314356158
403.gcc,4096.0,1.0,0.9986551608203517,1.0,1.0,0.9956292726661435,1.0,1.0
410.bwaves,128.0,1.0,0.5686423025942057,0.6433440636243135,0.58852490058701,0.5174209430032191,0.5861579246354857,0.5346525279303161
410.bwaves,256.0,1.0,0.712365082370763,0.7783563718992615,0.7264722590418481,0.6752508994508616,0.7521302783563719,0.6916303730354099
410.bwaves,512.0,1.0,0.8515432683203938,0.9193334595720507,0.8681120999810642,0.8254118538155653,0.9009657261882219,0.8384775610679794
410.bwaves,1024.0,1.0,0.9267184245408068,1.0,0.9419617496686232,0.9029539859875023,1.0,0.9197121757242945
410.bwaves,2048.0,1.0,0.9615603105472449,1.0,0.9789812535504637,0.9460329483052453,1.0,0.9671463737928423
410.bwaves,4096.0,1.0,0.9804014391213786,1.0,1.0,0.9705548191630374,1.0,1.0
416.gamess,128.0,1.0,0.9984929283561327,0.9988407141201019,0.9987247855321121,0.998261071180153,0.9988407141201019,0.9983769997681426
416.gamess,256.0,1.0,0.9988407141201019,0.999304428472061,0.9990725712960813,0.9988407141201019,0.999304428472061,0.9989566427080916
416.gamess,512.0,1.0,0.9995362856480406,0.9997681428240204,0.9995362856480406,0.999304428472061,0.9996522142360306,0.999420357060051
416.gamess,1024.0,1.0,0.9997681428240204,1.0,0.9996522142360306,0.9996522142360306,1.0,0.9997681428240204
416.gamess,2048.0,1.0,0.9997681428240204,1.0,1.0,0.9997681428240204,1.0,0.9997681428240204
416.gamess,4096.0,1.0,1.0,1.0,1.0,0.9998840714120101,1.0,1.0
429.mcf,128.0,1.0,0.6218040038989279,0.6940091474844419,0.6295268801079703,0.5675189322936193,0.6332008697608158,0.5874634475519233
429.mcf,256.0,1.0,0.7452950438629378,0.8196745894878908,0.7729624353302842,0.7198020544350305,0.7898327959811052,0.7376471470345656
429.mcf,512.0,1.0,0.8849816300517358,0.9428657119292194,0.895253805203569,0.8573892179650596,0.9192472070180701,0.8674364549748822
429.mcf,1024.0,1.0,0.9388168253730225,1.0,0.9651345879883032,0.9271950213691235,1.0,0.944140361400615
429.mcf,2048.0,1.0,0.9781810002249383,1.0,1.0026992577041314,0.9643847941816002,1.0,0.9789307940316414
429.mcf,4096.0,1.0,0.9949014021144188,1.0,1.0,0.9772062682762243,1.0,1.0
433.milc,128.0,1.0,0.5677792505121099,0.6569466200747077,0.5724786118809495,0.5165682612362935,0.5940474755994698,0.5331967706952644
433.milc,256.0,1.0,0.6956259790336183,0.7891312206289914,0.7402096638149174,0.6577900951921918,0.7453910109651765,0.6851427882877454
433.milc,512.0,1.0,0.866248945656103,0.9078202193035305,0.8880588022653331,0.8079286661043498,0.8876973129292686,0.8757681648391371
433.milc,1024.0,1.0,0.9174599349319195,1.0,0.9264971683335341,0.9074587299674659,1.0,0.9508374502952163
433.milc,2048.0,1.0,0.9790336185082539,1.0,0.9909627665983851,0.9613206410410893,1.0,0.9738522713579949
433.milc,4096.0,1.0,0.971080853114833,1.0,1.0,0.9925292203879984,1.0,1.0
435.gromacs,128.0,1.0,0.9876446141749973,0.9904526564079524,0.9878692575536338,0.9846119285634055,0.9873076491070428,0.9856228237672696
435.gromacs,256.0,1.0,0.992811411883635,0.9940469504661351,0.993373020330226,0.990228013029316,0.9933730203302259,0.9916881949904527
435.gromacs,512.0,1.0,0.9946085589127263,0.9959564191845448,0.9962933842524995,0.9947208806020446,0.9960687408738629,0.9982028529709088
435.gromacs,1024.0,1.0,0.9980905312815905,1.0,0.9991014264854544,0.9969673143884087,1.0,0.9976412445243178
435.gromacs,2048.0,1.0,0.9979782095922726,1.0,0.9997753566213637,0.9988767831068182,1.0,0.9995507132427274
435.gromacs,4096.0,1.0,0.9993260698640909,1.0,1.0,1.0002246433786366,1.0,1.0
436.cactusADM,128.0,1.0,0.6595458889778628,0.7266292976519516,0.6926097176659004,0.6222974194714954,0.6769818923875701,0.6322423991940692
436.cactusADM,256.0,1.0,0.7733577867899672,0.8321752382920466,0.7892697543460855,0.7703613773151138,0.8122594477307364,0.7622245757239171
436.cactusADM,512.0,1.0,0.8920259344406273,0.9214992379820733,0.8848965463797692,0.8638700178234704,0.9089194844109214,0.8701469790509649
436.cactusADM,1024.0,1.0,0.933588200346137,1.0,0.9651279931805854,0.9151189522899285,1.0,0.9640947485340841
436.cactusADM,2048.0,1.0,0.9582310851651901,1.0,0.9900033580451011,0.9673236380544004,1.0,0.9606075478521428
436.cactusADM,4096.0,1.0,0.9729806524939942,1.0,1.0,0.9686926872110144,1.0,1.0
437.leslie3d,128.0,1.0,0.5639236902050114,0.638382687927107,0.5802249430523918,0.5106064920273349,0.5863468109339407,0.5285449886104783
437.leslie3d,256.0,1.0,0.7047266514806377,0.7766230068337128,0.7235193621867881,0.6698462414578588,0.7443052391799543,0.6867881548974942
