Chip,act_TBRFM,R1,max_NRH,reset,N_RH,RFM_Frequency
32Gb,10,126568,118,no_reset,118,0.25
32Gb,26,129208,316,no_reset,316,0.5
32Gb,43,128057,525,no_reset,525,0.75
32Gb,60,129183,736,no_reset,736,1.0
32Gb,127,130680,1564,no_reset,1564,2.0
32Gb,261,130672,3220,no_reset,3220,4.0
32Gb,530,130983,6546,no_reset,6546,8.0
32Gb,10,32172,105,with_reset,105,0.25
32Gb,26,16810,264,with_reset,264,0.5
32Gb,43,11082,421,with_reset,421,0.75
32Gb,60,8206,572,with_reset,572,1.0
32Gb,127,4097,1126,with_reset,1126,2.0
32Gb,261,2053,2138,with_reset,2138,4.0
32Gb,530,1024,3977,with_reset,3977,8.0
