Chip,act_TBRFM,R1,max_NRH
16Gb,10,32172,105
16Gb,12,29251,126
16Gb,21,20261,216
16Gb,26,17482,265
16Gb,27,16863,274
16Gb,43,11346,422
16Gb,49,10153,476
16Gb,50,10076,486
16Gb,60,8487,574
16Gb,62,8224,591
16Gb,110,4865,994
16Gb,127,4229,1130
16Gb,131,4107,1162
16Gb,243,2270,2015
16Gb,244,2258,2022
16Gb,261,2117,2146
16Gb,270,2045,2211
16Gb,530,1053,3992
16Gb,542,1031,4071
16Gb,547,1022,4103
32Gb,10,32172,105
32Gb,12,29251,126
32Gb,21,20261,216
32Gb,26,16810,264
32Gb,43,11082,421
32Gb,49,9946,475
32Gb,50,9677,484
32Gb,60,8206,572
32Gb,110,4691,990
32Gb,127,4097,1126
32Gb,244,2194,2015
32Gb,261,2053,2138
32Gb,530,1024,3977
32Gb,544,996,4067
64Gb,10,32172,105
64Gb,12,29251,126
64Gb,21,20261,216
64Gb,26,16810,264
64Gb,43,11082,421
64Gb,47,10187,457
64Gb,50,9677,484
64Gb,60,8206,572
64Gb,110,4691,990
64Gb,127,4097,1126
64Gb,244,2194,2015
64Gb,261,2053,2138
64Gb,530,1024,3977
64Gb,544,996,4067
